Category: All categories

Month,gout: (Indianapolis IN)
2014-01,59
2014-02,60
2014-03,61
2014-04,78
2014-05,88
2014-06,78
2014-07,77
2014-08,80
2014-09,71
2014-10,77
2014-11,68
2014-12,59
2015-01,83
2015-02,64
2015-03,74
2015-04,59
2015-05,75
2015-06,66
2015-07,79
2015-08,65
2015-09,64
2015-10,56
2015-11,74
2015-12,58
2016-01,49
2016-02,66
2016-03,71
2016-04,64
2016-05,64
2016-06,64
2016-07,70
2016-08,61
2016-09,74
2016-10,73
2016-11,53
2016-12,68
2017-01,52
2017-02,69
2017-03,73
2017-04,73
2017-05,68
2017-06,75
2017-07,84
2017-08,69
2017-09,72
2017-10,69
2017-11,61
2017-12,64
2018-01,67
2018-02,60
2018-03,69
2018-04,72
2018-05,77
2018-06,88
2018-07,81
2018-08,80
2018-09,75
2018-10,78
2018-11,67
2018-12,81
2019-01,73
2019-02,72
2019-03,76
2019-04,70
2019-05,81
2019-06,75
2019-07,84
2019-08,73
2019-09,68
2019-10,76
2019-11,70
2019-12,74
2020-01,78
2020-02,72
2020-03,65
2020-04,64
2020-05,72
2020-06,67
2020-07,75
2020-08,70
2020-09,65
2020-10,73
2020-11,60
2020-12,72
2021-01,75
2021-02,67
2021-03,66
2021-04,83
2021-05,75
2021-06,90
2021-07,71
2021-08,71
2021-09,76
2021-10,70
2021-11,65
2021-12,68
2022-01,80
2022-02,73
2022-03,89
2022-04,82
2022-05,82
2022-06,87
2022-07,89
2022-08,72
2022-09,79
2022-10,72
2022-11,60
2022-12,67
2023-01,75
2023-02,64
2023-03,73
2023-04,80
2023-05,92
2023-06,100
2023-07,70
2023-08,71
2023-09,73
2023-10,79
2023-11,73
2023-12,67
2024-01,79
2024-02,69
2024-03,72
2024-04,64
