Category: All categories

Month,gout: (Jacksonville FL)
2014-01,62
2014-02,58
2014-03,67
2014-04,69
2014-05,79
2014-06,76
2014-07,70
2014-08,74
2014-09,49
2014-10,84
2014-11,70
2014-12,74
2015-01,64
2015-02,72
2015-03,60
2015-04,89
2015-05,57
2015-06,59
2015-07,80
2015-08,78
2015-09,88
2015-10,54
2015-11,85
2015-12,44
2016-01,70
2016-02,73
2016-03,67
2016-04,70
2016-05,71
2016-06,65
2016-07,80
2016-08,84
2016-09,57
2016-10,58
2016-11,66
2016-12,68
2017-01,63
2017-02,84
2017-03,64
2017-04,69
2017-05,80
2017-06,74
2017-07,93
2017-08,82
2017-09,76
2017-10,71
2017-11,71
2017-12,67
2018-01,58
2018-02,73
2018-03,64
2018-04,89
2018-05,73
2018-06,82
2018-07,88
2018-08,63
2018-09,68
2018-10,80
2018-11,73
2018-12,68
2019-01,100
2019-02,75
2019-03,84
2019-04,83
2019-05,75
2019-06,82
2019-07,71
2019-08,54
2019-09,73
2019-10,74
2019-11,65
2019-12,85
2020-01,76
2020-02,74
2020-03,71
2020-04,64
2020-05,70
2020-06,60
2020-07,70
2020-08,73
2020-09,73
2020-10,77
2020-11,55
2020-12,65
2021-01,78
2021-02,68
2021-03,77
2021-04,79
2021-05,67
2021-06,79
2021-07,78
2021-08,75
2021-09,76
2021-10,66
2021-11,59
2021-12,83
2022-01,71
2022-02,90
2022-03,74
2022-04,74
2022-05,83
2022-06,82
2022-07,91
2022-08,84
2022-09,70
2022-10,78
2022-11,81
2022-12,76
2023-01,73
2023-02,91
2023-03,88
2023-04,75
2023-05,76
2023-06,79
2023-07,71
2023-08,74
2023-09,68
2023-10,69
2023-11,75
2023-12,79
2024-01,72
2024-02,71
2024-03,63
2024-04,78
