Category: All categories

Month,gout: (Las Vegas NV)
2014-01,65
2014-02,63
2014-03,60
2014-04,71
2014-05,76
2014-06,70
2014-07,71
2014-08,68
2014-09,62
2014-10,72
2014-11,60
2014-12,69
2015-01,64
2015-02,86
2015-03,73
2015-04,71
2015-05,86
2015-06,83
2015-07,81
2015-08,82
2015-09,72
2015-10,78
2015-11,55
2015-12,63
2016-01,68
2016-02,65
2016-03,76
2016-04,63
2016-05,66
2016-06,72
2016-07,59
2016-08,76
2016-09,84
2016-10,76
2016-11,62
2016-12,71
2017-01,60
2017-02,72
2017-03,74
2017-04,71
2017-05,75
2017-06,79
2017-07,68
2017-08,72
2017-09,75
2017-10,74
2017-11,76
2017-12,68
2018-01,83
2018-02,82
2018-03,80
2018-04,83
2018-05,86
2018-06,81
2018-07,78
2018-08,63
2018-09,89
2018-10,66
2018-11,68
2018-12,76
2019-01,76
2019-02,74
2019-03,86
2019-04,66
2019-05,78
2019-06,81
2019-07,83
2019-08,76
2019-09,66
2019-10,72
2019-11,81
2019-12,83
2020-01,82
2020-02,84
2020-03,62
2020-04,77
2020-05,93
2020-06,79
2020-07,74
2020-08,76
2020-09,61
2020-10,78
2020-11,60
2020-12,78
2021-01,65
2021-02,72
2021-03,67
2021-04,75
2021-05,82
2021-06,70
2021-07,79
2021-08,84
2021-09,81
2021-10,79
2021-11,83
2021-12,63
2022-01,82
2022-02,81
2022-03,78
2022-04,82
2022-05,88
2022-06,81
2022-07,97
2022-08,88
2022-09,75
2022-10,83
2022-11,72
2022-12,73
2023-01,84
2023-02,89
2023-03,86
2023-04,79
2023-05,86
2023-06,100
2023-07,81
2023-08,79
2023-09,74
2023-10,63
2023-11,72
2023-12,89
2024-01,89
2024-02,80
2024-03,81
2024-04,91
