Category: All categories

Month,gout: (Los Angeles CA)
2004-01,72
2004-02,38
2004-03,0
2004-04,93
2004-05,66
2004-06,41
2004-07,51
2004-08,76
2004-09,80
2004-10,57
2004-11,57
2004-12,48
2005-01,55
2005-02,59
2005-03,59
2005-04,54
2005-05,78
2005-06,56
2005-07,84
2005-08,67
2005-09,51
2005-10,68
2005-11,37
2005-12,60
2006-01,49
2006-02,52
2006-03,59
2006-04,53
2006-05,64
2006-06,50
2006-07,89
2006-08,74
2006-09,53
2006-10,47
2006-11,61
2006-12,49
2007-01,59
2007-02,44
2007-03,55
2007-04,48
2007-05,49
2007-06,56
2007-07,71
2007-08,52
2007-09,57
2007-10,55
2007-11,41
2007-12,50
2008-01,53
2008-02,58
2008-03,61
2008-04,65
2008-05,57
2008-06,66
2008-07,63
2008-08,61
2008-09,60
2008-10,45
2008-11,56
2008-12,54
2009-01,67
2009-02,48
2009-03,71
2009-04,65
2009-05,67
2009-06,79
2009-07,75
2009-08,65
2009-09,64
2009-10,58
2009-11,64
2009-12,60
2010-01,59
2010-02,63
2010-03,53
2010-04,61
2010-05,73
2010-06,72
2010-07,73
2010-08,74
2010-09,65
2010-10,76
2010-11,70
2010-12,65
2011-01,85
2011-02,74
2011-03,75
2011-04,78
2011-05,80
2011-06,78
2011-07,89
2011-08,88
2011-09,73
2011-10,73
2011-11,77
2011-12,58
2012-01,76
2012-02,75
2012-03,66
2012-04,78
2012-05,75
2012-06,76
2012-07,75
2012-08,72
2012-09,71
2012-10,62
2012-11,57
2012-12,57
2013-01,59
2013-02,56
2013-03,70
2013-04,66
2013-05,68
2013-06,67
2013-07,71
2013-08,61
2013-09,65
2013-10,57
2013-11,59
2013-12,52
2014-01,65
2014-02,67
2014-03,65
2014-04,73
2014-05,72
2014-06,67
2014-07,77
2014-08,66
2014-09,68
2014-10,71
2014-11,67
2014-12,61
2015-01,60
2015-02,68
2015-03,73
2015-04,71
2015-05,65
2015-06,75
2015-07,76
2015-08,74
2015-09,72
2015-10,67
2015-11,67
2015-12,63
2016-01,69
2016-02,65
2016-03,62
2016-04,68
2016-05,67
2016-06,65
2016-07,77
2016-08,76
2016-09,67
2016-10,68
2016-11,69
2016-12,59
2017-01,68
2017-02,68
2017-03,68
2017-04,72
2017-05,72
2017-06,81
2017-07,86
2017-08,78
2017-09,63
2017-10,67
2017-11,68
2017-12,69
2018-01,74
2018-02,70
2018-03,76
2018-04,78
2018-05,80
2018-06,88
2018-07,87
2018-08,84
2018-09,82
2018-10,71
2018-11,69
2018-12,73
2019-01,81
2019-02,74
2019-03,83
2019-04,81
2019-05,79
2019-06,81
2019-07,85
2019-08,86
2019-09,88
2019-10,75
2019-11,76
2019-12,72
2020-01,77
2020-02,83
2020-03,65
2020-04,71
2020-05,81
2020-06,79
2020-07,81
2020-08,84
2020-09,68
2020-10,72
2020-11,71
2020-12,73
2021-01,70
2021-02,73
2021-03,72
2021-04,79
2021-05,80
2021-06,83
2021-07,84
2021-08,82
2021-09,79
2021-10,68
2021-11,71
2021-12,66
2022-01,76
2022-02,83
2022-03,76
2022-04,80
2022-05,82
2022-06,93
2022-07,94
2022-08,96
2022-09,83
2022-10,77
2022-11,71
2022-12,76
2023-01,77
2023-02,77
2023-03,76
2023-04,89
2023-05,85
2023-06,94
2023-07,100
2023-08,93
2023-09,82
2023-10,86
2023-11,79
2023-12,80
2024-01,82
2024-02,77
2024-03,79
2024-04,83
