Category: All categories,
,
Month,gout: (Miami  FL)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,100
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,70
2005-07,0
2005-08,60
2005-09,0
2005-10,0
2005-11,47
2005-12,42
2006-01,38
2006-02,0
2006-03,0
2006-04,46
2006-05,41
2006-06,0
2006-07,61
2006-08,38
2006-09,0
2006-10,0
2006-11,41
2006-12,45
2007-01,48
2007-02,34
2007-03,45
2007-04,31
2007-05,28
2007-06,47
2007-07,48
2007-08,28
2007-09,33
2007-10,37
2007-11,56
2007-12,28
2008-01,41
2008-02,44
2008-03,32
2008-04,39
2008-05,27
2008-06,43
2008-07,30
2008-08,53
2008-09,37
2008-10,49
2008-11,0
2008-12,40
2009-01,35
2009-02,40
2009-03,38
2009-04,50
2009-05,30
2009-06,38
2009-07,34
2009-08,41
2009-09,34
2009-10,30
2009-11,38
2009-12,35
2010-01,29
2010-02,47
2010-03,49
2010-04,49
2010-05,44
2010-06,42
2010-07,44
2010-08,50
2010-09,32
2010-10,69
2010-11,56
2010-12,52
2011-01,62
2011-02,64
2011-03,57
2011-04,52
2011-05,53
2011-06,47
2011-07,49
2011-08,58
2011-09,52
2011-10,53
2011-11,58
2011-12,41
2012-01,53
2012-02,48
2012-03,43
2012-04,44
2012-05,41
2012-06,36
2012-07,44
2012-08,35
2012-09,41
2012-10,39
2012-11,34
2012-12,40
2013-01,39
2013-02,43
2013-03,41
2013-04,49
2013-05,45
2013-06,47
2013-07,46
2013-08,41
2013-09,38
2013-10,41
2013-11,37
2013-12,42
2014-01,44
2014-02,41
2014-03,33
2014-04,43
2014-05,45
2014-06,47
2014-07,42
2014-08,37
2014-09,38
2014-10,49
2014-11,41
2014-12,51
2015-01,37
2015-02,41
2015-03,45
2015-04,53
2015-05,47
2015-06,43
2015-07,44
2015-08,50
2015-09,40
2015-10,49
2015-11,53
2015-12,46
2016-01,45
2016-02,41
2016-03,41
2016-04,40
2016-05,46
2016-06,39
2016-07,40
2016-08,34
2016-09,41
2016-10,42
2016-11,39
2016-12,45
2017-01,42
2017-02,46
2017-03,46
2017-04,48
2017-05,43
2017-06,47
2017-07,40
2017-08,43
2017-09,39
2017-10,41
2017-11,44
2017-12,46
2018-01,47
2018-02,50
2018-03,46
2018-04,47
2018-05,49
2018-06,42
2018-07,53
2018-08,47
2018-09,43
2018-10,43
2018-11,43
2018-12,47
2019-01,47
2019-02,51
2019-03,47
2019-04,50
2019-05,48
2019-06,53
2019-07,57
2019-08,47
2019-09,52
2019-10,49
2019-11,48
2019-12,52
2020-01,49
2020-02,49
2020-03,44
2020-04,43
2020-05,44
2020-06,50
2020-07,42
2020-08,46
2020-09,38
2020-10,45
2020-11,43
2020-12,42
2021-01,44
2021-02,39
2021-03,42
2021-04,49
2021-05,44
2021-06,49
2021-07,44
2021-08,43
2021-09,43
2021-10,45
2021-11,48
2021-12,44
2022-01,45
2022-02,45
2022-03,51
2022-04,53
2022-05,46
2022-06,48
2022-07,51
2022-08,44
2022-09,48
2022-10,54
2022-11,43
2022-12,44
2023-01,52
2023-02,50
2023-03,50
2023-04,48
2023-05,48
2023-06,46
2023-07,45
2023-08,43
2023-09,44
2023-10,40
2023-11,47
2023-12,51
2024-01,38
2024-02,46
2024-03,47
2024-04,48
