Category: All categories

Month,gout: (Madison WI)
2014-01,60
2014-02,52
2014-03,62
2014-04,64
2014-05,62
2014-06,71
2014-07,80
2014-08,83
2014-09,80
2014-10,78
2014-11,63
2014-12,82
2015-01,59
2015-02,69
2015-03,79
2015-04,73
2015-05,80
2015-06,77
2015-07,98
2015-08,74
2015-09,63
2015-10,44
2015-11,64
2015-12,69
2016-01,58
2016-02,82
2016-03,54
2016-04,92
2016-05,67
2016-06,70
2016-07,63
2016-08,87
2016-09,77
2016-10,75
2016-11,82
2016-12,75
2017-01,49
2017-02,53
2017-03,81
2017-04,68
2017-05,62
2017-06,83
2017-07,74
2017-08,70
2017-09,72
2017-10,47
2017-11,45
2017-12,62
2018-01,56
2018-02,62
2018-03,53
2018-04,54
2018-05,85
2018-06,75
2018-07,81
2018-08,71
2018-09,67
2018-10,52
2018-11,68
2018-12,72
2019-01,53
2019-02,55
2019-03,57
2019-04,66
2019-05,74
2019-06,84
2019-07,70
2019-08,67
2019-09,62
2019-10,68
2019-11,69
2019-12,53
2020-01,78
2020-02,46
2020-03,69
2020-04,51
2020-05,67
2020-06,71
2020-07,69
2020-08,61
2020-09,46
2020-10,69
2020-11,59
2020-12,69
2021-01,74
2021-02,81
2021-03,75
2021-04,63
2021-05,78
2021-06,62
2021-07,84
2021-08,89
2021-09,52
2021-10,73
2021-11,65
2021-12,70
2022-01,78
2022-02,65
2022-03,68
2022-04,61
2022-05,87
2022-06,78
2022-07,94
2022-08,92
2022-09,85
2022-10,71
2022-11,57
2022-12,70
2023-01,72
2023-02,79
2023-03,87
2023-04,98
2023-05,100
2023-06,82
2023-07,78
2023-08,85
2023-09,90
2023-10,74
2023-11,77
2023-12,73
2024-01,84
2024-02,70
2024-03,78
2024-04,61
