Category: All categories,
,
Month,gout: (Minneapolis MN)
2014-01,64
2014-02,58
2014-03,67
2014-04,75
2014-05,79
2014-06,82
2014-07,86
2014-08,68
2014-09,69
2014-10,80
2014-11,60
2014-12,72
2015-01,73
2015-02,73
2015-03,68
2015-04,70
2015-05,69
2015-06,78
2015-07,81
2015-08,77
2015-09,86
2015-10,69
2015-11,76
2015-12,74
2016-01,74
2016-02,77
2016-03,77
2016-04,70
2016-05,76
2016-06,79
2016-07,80
2016-08,70
2016-09,67
2016-10,73
2016-11,75
2016-12,63
2017-01,73
2017-02,65
2017-03,67
2017-04,82
2017-05,82
2017-06,86
2017-07,93
2017-08,80
2017-09,75
2017-10,72
2017-11,63
2017-12,73
2018-01,82
2018-02,69
2018-03,78
2018-04,74
2018-05,82
2018-06,93
2018-07,91
2018-08,89
2018-09,81
2018-10,73
2018-11,71
2018-12,79
2019-01,83
2019-02,80
2019-03,83
2019-04,87
2019-05,82
2019-06,99
2019-07,91
2019-08,87
2019-09,81
2019-10,73
2019-11,76
2019-12,85
2020-01,80
2020-02,75
2020-03,70
2020-04,67
2020-05,80
2020-06,83
2020-07,83
2020-08,81
2020-09,65
2020-10,67
2020-11,81
2020-12,81
2021-01,71
2021-02,86
2021-03,75
2021-04,79
2021-05,76
2021-06,91
2021-07,86
2021-08,83
2021-09,67
2021-10,78
2021-11,79
2021-12,68
2022-01,74
2022-02,77
2022-03,87
2022-04,84
2022-05,92
2022-06,82
2022-07,89
2022-08,100
2022-09,84
2022-10,84
2022-11,79
2022-12,74
2023-01,73
2023-02,79
2023-03,87
2023-04,90
2023-05,90
2023-06,82
2023-07,90
2023-08,95
2023-09,75
2023-10,82
2023-11,80
2023-12,85
2024-01,83
2024-02,85
2024-03,84
2024-04,85
