Category: All categories

Month,gout: (New Orleans LA)
2014-01,69
2014-02,51
2014-03,53
2014-04,76
2014-05,64
2014-06,90
2014-07,88
2014-08,76
2014-09,57
2014-10,72
2014-11,59
2014-12,80
2015-01,81
2015-02,68
2015-03,71
2015-04,79
2015-05,72
2015-06,77
2015-07,81
2015-08,72
2015-09,67
2015-10,59
2015-11,72
2015-12,83
2016-01,62
2016-02,73
2016-03,62
2016-04,59
2016-05,65
2016-06,81
2016-07,65
2016-08,67
2016-09,72
2016-10,67
2016-11,56
2016-12,73
2017-01,70
2017-02,84
2017-03,67
2017-04,72
2017-05,82
2017-06,72
2017-07,73
2017-08,47
2017-09,74
2017-10,59
2017-11,85
2017-12,67
2018-01,63
2018-02,74
2018-03,81
2018-04,78
2018-05,97
2018-06,83
2018-07,100
2018-08,92
2018-09,100
2018-10,75
2018-11,57
2018-12,73
2019-01,77
2019-02,85
2019-03,82
2019-04,95
2019-05,91
2019-06,70
2019-07,80
2019-08,97
2019-09,75
2019-10,74
2019-11,75
2019-12,75
2020-01,72
2020-02,82
2020-03,69
2020-04,74
2020-05,68
2020-06,72
2020-07,85
2020-08,75
2020-09,68
2020-10,60
2020-11,60
2020-12,77
2021-01,61
2021-02,93
2021-03,58
2021-04,70
2021-05,82
2021-06,81
2021-07,92
2021-08,68
2021-09,74
2021-10,69
2021-11,66
2021-12,60
2022-01,71
2022-02,71
2022-03,73
2022-04,77
2022-05,79
2022-06,92
2022-07,69
2022-08,76
2022-09,81
2022-10,82
2022-11,75
2022-12,83
2023-01,62
2023-02,72
2023-03,83
2023-04,93
2023-05,76
2023-06,88
2023-07,63
2023-08,68
2023-09,86
2023-10,86
2023-11,69
2023-12,74
2024-01,63
2024-02,90
2024-03,69
2024-04,89
