Category: All categories

Month,gout: (New York NY)
2004-01,54
2004-02,46
2004-03,39
2004-04,63
2004-05,72
2004-06,66
2004-07,61
2004-08,72
2004-09,67
2004-10,65
2004-11,47
2004-12,60
2005-01,66
2005-02,61
2005-03,70
2005-04,57
2005-05,76
2005-06,65
2005-07,61
2005-08,68
2005-09,76
2005-10,62
2005-11,51
2005-12,54
2006-01,62
2006-02,66
2006-03,68
2006-04,55
2006-05,63
2006-06,63
2006-07,83
2006-08,79
2006-09,64
2006-10,49
2006-11,55
2006-12,58
2007-01,73
2007-02,56
2007-03,61
2007-04,66
2007-05,67
2007-06,60
2007-07,74
2007-08,74
2007-09,52
2007-10,69
2007-11,64
2007-12,52
2008-01,51
2008-02,63
2008-03,68
2008-04,67
2008-05,76
2008-06,65
2008-07,71
2008-08,65
2008-09,60
2008-10,61
2008-11,55
2008-12,58
2009-01,65
2009-02,57
2009-03,60
2009-04,60
2009-05,80
2009-06,81
2009-07,79
2009-08,78
2009-09,63
2009-10,61
2009-11,67
2009-12,62
2010-01,66
2010-02,73
2010-03,76
2010-04,76
2010-05,85
2010-06,82
2010-07,85
2010-08,84
2010-09,76
2010-10,97
2010-11,87
2010-12,78
2011-01,82
2011-02,84
2011-03,95
2011-04,100
2011-05,94
2011-06,95
2011-07,94
2011-08,97
2011-09,89
2011-10,89
2011-11,81
2011-12,73
2012-01,81
2012-02,74
2012-03,80
2012-04,71
2012-05,82
2012-06,78
2012-07,71
2012-08,71
2012-09,70
2012-10,62
2012-11,54
2012-12,61
2013-01,62
2013-02,65
2013-03,72
2013-04,78
2013-05,74
2013-06,84
2013-07,78
2013-08,74
2013-09,70
2013-10,66
2013-11,60
2013-12,57
2014-01,65
2014-02,58
2014-03,65
2014-04,69
2014-05,73
2014-06,80
2014-07,83
2014-08,74
2014-09,77
2014-10,77
2014-11,62
2014-12,77
2015-01,71
2015-02,72
2015-03,75
2015-04,80
2015-05,82
2015-06,85
2015-07,87
2015-08,83
2015-09,73
2015-10,70
2015-11,80
2015-12,75
2016-01,65
2016-02,70
2016-03,73
2016-04,73
2016-05,69
2016-06,79
2016-07,83
2016-08,74
2016-09,82
2016-10,70
2016-11,68
2016-12,69
2017-01,76
2017-02,70
2017-03,75
2017-04,84
2017-05,81
2017-06,83
2017-07,90
2017-08,83
2017-09,73
2017-10,73
2017-11,71
2017-12,74
2018-01,76
2018-02,80
2018-03,80
2018-04,82
2018-05,84
2018-06,92
2018-07,94
2018-08,89
2018-09,98
2018-10,77
2018-11,81
2018-12,84
2019-01,89
2019-02,82
2019-03,87
2019-04,84
2019-05,86
2019-06,91
2019-07,88
2019-08,90
2019-09,79
2019-10,78
2019-11,77
2019-12,78
2020-01,82
2020-02,83
2020-03,68
2020-04,72
2020-05,74
2020-06,84
2020-07,84
2020-08,79
2020-09,76
2020-10,75
2020-11,70
2020-12,73
2021-01,75
2021-02,79
2021-03,72
2021-04,71
2021-05,76
2021-06,78
2021-07,79
2021-08,76
2021-09,67
2021-10,70
2021-11,65
2021-12,66
2022-01,71
2022-02,81
2022-03,77
2022-04,81
2022-05,84
2022-06,89
2022-07,91
2022-08,88
2022-09,81
2022-10,74
2022-11,74
2022-12,68
2023-01,76
2023-02,80
2023-03,80
2023-04,81
2023-05,85
2023-06,81
2023-07,85
2023-08,84
2023-09,73
2023-10,72
2023-11,68
2023-12,73
2024-01,76
2024-02,84
2024-03,76
2024-04,76
