Category: All categories

Month,gout: (Chicago IL)
2014-01,67
2014-02,67
2014-03,71
2014-04,79
2014-05,72
2014-06,73
2014-07,83
2014-08,79
2014-09,78
2014-10,86
2014-11,67
2014-12,77
2015-01,82
2015-02,72
2015-03,76
2015-04,69
2015-05,79
2015-06,84
2015-07,85
2015-08,81
2015-09,83
2015-10,74
2015-11,76
2015-12,79
2016-01,67
2016-02,75
2016-03,73
2016-04,75
2016-05,76
2016-06,86
2016-07,77
2016-08,78
2016-09,70
2016-10,69
2016-11,68
2016-12,69
2017-01,69
2017-02,81
2017-03,82
2017-04,83
2017-05,82
2017-06,85
2017-07,88
2017-08,86
2017-09,77
2017-10,71
2017-11,78
2017-12,77
2018-01,76
2018-02,80
2018-03,82
2018-04,85
2018-05,84
2018-06,91
2018-07,94
2018-08,88
2018-09,88
2018-10,72
2018-11,82
2018-12,84
2019-01,86
2019-02,88
2019-03,88
2019-04,83
2019-05,78
2019-06,87
2019-07,86
2019-08,86
2019-09,87
2019-10,78
2019-11,77
2019-12,80
2020-01,81
2020-02,81
2020-03,65
2020-04,76
2020-05,72
2020-06,76
2020-07,82
2020-08,80
2020-09,74
2020-10,73
2020-11,74
2020-12,73
2021-01,80
2021-02,80
2021-03,79
2021-04,89
2021-05,82
2021-06,92
2021-07,81
2021-08,83
2021-09,84
2021-10,79
2021-11,76
2021-12,73
2022-01,91
2022-02,82
2022-03,86
2022-04,79
2022-05,85
2022-06,96
2022-07,94
2022-08,93
2022-09,83
2022-10,74
2022-11,78
2022-12,76
2023-01,84
2023-02,87
2023-03,84
2023-04,84
2023-05,86
2023-06,100
2023-07,93
2023-08,90
2023-09,80
2023-10,79
2023-11,75
2023-12,79
2024-01,83
2024-02,88
2024-03,78
2024-04,88
