Category: All categories

Month,gout: (Portland OR)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,63
2005-06,0
2005-07,0
2005-08,0
2005-09,100
2005-10,52
2005-11,47
2005-12,61
2006-01,62
2006-02,0
2006-03,0
2006-04,39
2006-05,81
2006-06,56
2006-07,39
2006-08,47
2006-09,0
2006-10,49
2006-11,38
2006-12,37
2007-01,40
2007-02,42
2007-03,38
2007-04,31
2007-05,0
2007-06,34
2007-07,30
2007-08,43
2007-09,30
2007-10,47
2007-11,37
2007-12,0
2008-01,39
2008-02,27
2008-03,58
2008-04,36
2008-05,62
2008-06,48
2008-07,42
2008-08,36
2008-09,44
2008-10,48
2008-11,34
2008-12,22
2009-01,40
2009-02,43
2009-03,24
2009-04,54
2009-05,26
2009-06,43
2009-07,36
2009-08,66
2009-09,22
2009-10,40
2009-11,39
2009-12,36
2010-01,24
2010-02,39
2010-03,46
2010-04,43
2010-05,56
2010-06,45
2010-07,42
2010-08,60
2010-09,48
2010-10,67
2010-11,51
2010-12,46
2011-01,58
2011-02,57
2011-03,66
2011-04,50
2011-05,54
2011-06,62
2011-07,75
2011-08,51
2011-09,61
2011-10,55
2011-11,61
2011-12,41
2012-01,56
2012-02,54
2012-03,52
2012-04,58
2012-05,47
2012-06,49
2012-07,51
2012-08,41
2012-09,41
2012-10,46
2012-11,43
2012-12,31
2013-01,44
2013-02,46
2013-03,45
2013-04,52
2013-05,61
2013-06,55
2013-07,31
2013-08,27
2013-09,26
2013-10,18
2013-11,20
2013-12,21
2014-01,26
2014-02,28
2014-03,53
2014-04,36
2014-05,35
2014-06,28
2014-07,33
2014-08,31
2014-09,31
2014-10,27
2014-11,27
2014-12,26
2015-01,26
2015-02,23
2015-03,28
2015-04,24
2015-05,32
2015-06,54
2015-07,55
2015-08,59
2015-09,44
2015-10,48
2015-11,47
2015-12,50
2016-01,40
2016-02,43
2016-03,38
2016-04,43
2016-05,46
2016-06,49
2016-07,52
2016-08,49
2016-09,36
2016-10,40
2016-11,45
2016-12,46
2017-01,52
2017-02,43
2017-03,48
2017-04,54
2017-05,53
2017-06,50
2017-07,50
2017-08,44
2017-09,43
2017-10,46
2017-11,47
2017-12,52
2018-01,49
2018-02,47
2018-03,59
2018-04,53
2018-05,53
2018-06,57
2018-07,59
2018-08,55
2018-09,52
2018-10,57
2018-11,54
2018-12,54
2019-01,55
2019-02,52
2019-03,60
2019-04,62
2019-05,54
2019-06,60
2019-07,64
2019-08,56
2019-09,57
2019-10,50
2019-11,51
2019-12,51
2020-01,56
2020-02,50
2020-03,47
2020-04,53
2020-05,52
2020-06,49
2020-07,55
2020-08,51
2020-09,47
2020-10,46
2020-11,50
2020-12,49
2021-01,51
2021-02,52
2021-03,53
2021-04,57
2021-05,58
2021-06,53
2021-07,58
2021-08,45
2021-09,49
2021-10,47
2021-11,51
2021-12,42
2022-01,51
2022-02,49
2022-03,53
2022-04,48
2022-05,61
2022-06,63
2022-07,71
2022-08,67
2022-09,58
2022-10,47
2022-11,49
2022-12,44
2023-01,55
2023-02,59
2023-03,61
2023-04,57
2023-05,60
2023-06,56
2023-07,64
2023-08,57
2023-09,57
2023-10,42
2023-11,52
2023-12,47
2024-01,61
2024-02,56
2024-03,49
2024-04,53
