Category: All categories

Month,gout: (Philadelphia PA)
2004-01,63
2004-02,0
2004-03,0
2004-04,0
2004-05,68
2004-06,78
2004-07,92
2004-08,53
2004-09,88
2004-10,47
2004-11,66
2004-12,67
2005-01,63
2005-02,76
2005-03,68
2005-04,64
2005-05,53
2005-06,100
2005-07,58
2005-08,81
2005-09,39
2005-10,39
2005-11,47
2005-12,52
2006-01,59
2006-02,38
2006-03,44
2006-04,54
2006-05,63
2006-06,70
2006-07,75
2006-08,57
2006-09,61
2006-10,69
2006-11,45
2006-12,66
2007-01,55
2007-02,38
2007-03,39
2007-04,49
2007-05,75
2007-06,84
2007-07,73
2007-08,48
2007-09,56
2007-10,63
2007-11,41
2007-12,49
2008-01,55
2008-02,68
2008-03,65
2008-04,57
2008-05,54
2008-06,52
2008-07,67
2008-08,51
2008-09,65
2008-10,49
2008-11,52
2008-12,47
2009-01,55
2009-02,67
2009-03,58
2009-04,56
2009-05,66
2009-06,66
2009-07,78
2009-08,72
2009-09,70
2009-10,61
2009-11,58
2009-12,65
2010-01,49
2010-02,50
2010-03,66
2010-04,71
2010-05,67
2010-06,74
2010-07,70
2010-08,83
2010-09,62
2010-10,98
2010-11,82
2010-12,70
2011-01,86
2011-02,67
2011-03,80
2011-04,79
2011-05,84
2011-06,88
2011-07,96
2011-08,82
2011-09,77
2011-10,70
2011-11,71
2011-12,55
2012-01,70
2012-02,69
2012-03,74
2012-04,70
2012-05,74
2012-06,70
2012-07,65
2012-08,67
2012-09,61
2012-10,60
2012-11,57
2012-12,62
2013-01,60
2013-02,61
2013-03,72
2013-04,66
2013-05,69
2013-06,71
2013-07,65
2013-08,63
2013-09,62
2013-10,58
2013-11,58
2013-12,58
2014-01,59
2014-02,66
2014-03,57
2014-04,67
2014-05,67
2014-06,63
2014-07,78
2014-08,70
2014-09,68
2014-10,68
2014-11,63
2014-12,66
2015-01,73
2015-02,64
2015-03,75
2015-04,73
2015-05,82
2015-06,72
2015-07,74
2015-08,71
2015-09,75
2015-10,60
2015-11,65
2015-12,63
2016-01,63
2016-02,62
2016-03,63
2016-04,69
2016-05,65
2016-06,72
2016-07,77
2016-08,71
2016-09,67
2016-10,67
2016-11,54
2016-12,62
2017-01,63
2017-02,69
2017-03,68
2017-04,73
2017-05,73
2017-06,73
2017-07,80
2017-08,72
2017-09,73
2017-10,66
2017-11,65
2017-12,67
2018-01,74
2018-02,74
2018-03,68
2018-04,74
2018-05,85
2018-06,81
2018-07,87
2018-08,80
2018-09,76
2018-10,69
2018-11,66
2018-12,68
2019-01,75
2019-02,69
2019-03,72
2019-04,80
2019-05,74
2019-06,86
2019-07,85
2019-08,83
2019-09,75
2019-10,69
2019-11,65
2019-12,72
2020-01,72
2020-02,75
2020-03,68
2020-04,65
2020-05,71
2020-06,75
2020-07,76
2020-08,66
2020-09,62
2020-10,62
2020-11,65
2020-12,69
2021-01,74
2021-02,68
2021-03,74
2021-04,68
2021-05,82
2021-06,80
2021-07,73
2021-08,73
2021-09,77
2021-10,69
2021-11,55
2021-12,67
2022-01,66
2022-02,78
2022-03,77
2022-04,72
2022-05,75
2022-06,86
2022-07,88
2022-08,85
2022-09,75
2022-10,75
2022-11,64
2022-12,73
2023-01,71
2023-02,77
2023-03,74
2023-04,73
2023-05,77
2023-06,83
2023-07,81
2023-08,87
2023-09,70
2023-10,70
2023-11,71
2023-12,73
2024-01,73
2024-02,76
2024-03,77
2024-04,73
