Category: All categories

Month,gout: (Phoenix AZ)
2004-01,0
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,60
2004-09,0
2004-10,0
2004-11,87
2004-12,81
2005-01,76
2005-02,0
2005-03,51
2005-04,0
2005-05,0
2005-06,93
2005-07,49
2005-08,55
2005-09,39
2005-10,34
2005-11,0
2005-12,42
2006-01,50
2006-02,68
2006-03,38
2006-04,51
2006-05,40
2006-06,37
2006-07,37
2006-08,60
2006-09,24
2006-10,0
2006-11,30
2006-12,40
2007-01,31
2007-02,36
2007-03,44
2007-04,43
2007-05,44
2007-06,53
2007-07,55
2007-08,43
2007-09,40
2007-10,39
2007-11,42
2007-12,42
2008-01,43
2008-02,43
2008-03,40
2008-04,45
2008-05,49
2008-06,37
2008-07,56
2008-08,51
2008-09,57
2008-10,45
2008-11,30
2008-12,43
2009-01,44
2009-02,45
2009-03,55
2009-04,51
2009-05,27
2009-06,49
2009-07,40
2009-08,49
2009-09,42
2009-10,31
2009-11,32
2009-12,37
2010-01,35
2010-02,30
2010-03,48
2010-04,39
2010-05,60
2010-06,31
2010-07,50
2010-08,45
2010-09,63
2010-10,54
2010-11,53
2010-12,67
2011-01,50
2011-02,55
2011-03,48
2011-04,66
2011-05,57
2011-06,45
2011-07,49
2011-08,61
2011-09,48
2011-10,63
2011-11,45
2011-12,37
2012-01,48
2012-02,55
2012-03,49
2012-04,53
2012-05,43
2012-06,46
2012-07,41
2012-08,38
2012-09,47
2012-10,49
2012-11,40
2012-12,40
2013-01,44
2013-02,45
2013-03,45
2013-04,48
2013-05,41
2013-06,48
2013-07,46
2013-08,40
2013-09,48
2013-10,39
2013-11,38
2013-12,31
2014-01,40
2014-02,41
2014-03,44
2014-04,47
2014-05,41
2014-06,41
2014-07,51
2014-08,46
2014-09,42
2014-10,57
2014-11,43
2014-12,47
2015-01,46
2015-02,48
2015-03,44
2015-04,54
2015-05,58
2015-06,41
2015-07,42
2015-08,41
2015-09,45
2015-10,41
2015-11,50
2015-12,43
2016-01,46
2016-02,41
2016-03,49
2016-04,39
2016-05,46
2016-06,46
2016-07,42
2016-08,46
2016-09,40
2016-10,46
2016-11,43
2016-12,45
2017-01,45
2017-02,46
2017-03,48
2017-04,52
2017-05,43
2017-06,51
2017-07,48
2017-08,46
2017-09,40
2017-10,45
2017-11,46
2017-12,48
2018-01,43
2018-02,47
2018-03,47
2018-04,52
2018-05,54
2018-06,49
2018-07,54
2018-08,50
2018-09,45
2018-10,44
2018-11,44
2018-12,47
2019-01,56
2019-02,51
2019-03,56
2019-04,55
2019-05,55
2019-06,53
2019-07,49
2019-08,48
2019-09,47
2019-10,50
2019-11,54
2019-12,45
2020-01,51
2020-02,49
2020-03,45
2020-04,46
2020-05,44
2020-06,46
2020-07,43
2020-08,40
2020-09,44
2020-10,47
2020-11,44
2020-12,44
2021-01,49
2021-02,44
2021-03,48
2021-04,44
2021-05,49
2021-06,46
2021-07,53
2021-08,43
2021-09,42
2021-10,42
2021-11,48
2021-12,49
2022-01,52
2022-02,49
2022-03,54
2022-04,50
2022-05,51
2022-06,57
2022-07,49
2022-08,54
2022-09,52
2022-10,51
2022-11,44
2022-12,49
2023-01,51
2023-02,48
2023-03,55
2023-04,52
2023-05,53
2023-06,60
2023-07,53
2023-08,47
2023-09,44
2023-10,45
2023-11,47
2023-12,48
2024-01,50
2024-02,52
2024-03,48
2024-04,46
