Category: All categories

Month,gout: (Pittsburgh PA)
2014-01,73
2014-02,58
2014-03,65
2014-04,63
2014-05,73
2014-06,82
2014-07,80
2014-08,58
2014-09,67
2014-10,74
2014-11,60
2014-12,77
2015-01,69
2015-02,75
2015-03,74
2015-04,80
2015-05,92
2015-06,82
2015-07,86
2015-08,78
2015-09,63
2015-10,53
2015-11,69
2015-12,59
2016-01,62
2016-02,72
2016-03,73
2016-04,60
2016-05,65
2016-06,73
2016-07,69
2016-08,61
2016-09,75
2016-10,66
2016-11,51
2016-12,67
2017-01,80
2017-02,67
2017-03,74
2017-04,87
2017-05,78
2017-06,86
2017-07,88
2017-08,84
2017-09,68
2017-10,66
2017-11,82
2017-12,68
2018-01,83
2018-02,74
2018-03,72
2018-04,94
2018-05,91
2018-06,90
2018-07,86
2018-08,98
2018-09,81
2018-10,84
2018-11,69
2018-12,73
2019-01,83
2019-02,75
2019-03,89
2019-04,84
2019-05,82
2019-06,96
2019-07,98
2019-08,81
2019-09,78
2019-10,85
2019-11,74
2019-12,83
2020-01,82
2020-02,81
2020-03,70
2020-04,76
2020-05,75
2020-06,80
2020-07,83
2020-08,85
2020-09,75
2020-10,70
2020-11,69
2020-12,70
2021-01,76
2021-02,79
2021-03,78
2021-04,70
2021-05,79
2021-06,83
2021-07,77
2021-08,82
2021-09,70
2021-10,72
2021-11,66
2021-12,72
2022-01,83
2022-02,77
2022-03,88
2022-04,83
2022-05,90
2022-06,96
2022-07,90
2022-08,74
2022-09,79
2022-10,71
2022-11,69
2022-12,72
2023-01,77
2023-02,86
2023-03,87
2023-04,94
2023-05,100
2023-06,93
2023-07,91
2023-08,72
2023-09,84
2023-10,78
2023-11,74
2023-12,90
2024-01,75
2024-02,81
2024-03,79
2024-04,86
