Category: All categories

Month,gout: (San Diego CA)
2014-01,75
2014-02,65
2014-03,65
2014-04,65
2014-05,78
2014-06,78
2014-07,72
2014-08,77
2014-09,80
2014-10,78
2014-11,55
2014-12,77
2015-01,71
2015-02,70
2015-03,75
2015-04,70
2015-05,64
2015-06,84
2015-07,85
2015-08,69
2015-09,70
2015-10,63
2015-11,59
2015-12,66
2016-01,71
2016-02,64
2016-03,74
2016-04,69
2016-05,64
2016-06,72
2016-07,73
2016-08,83
2016-09,79
2016-10,74
2016-11,56
2016-12,79
2017-01,60
2017-02,76
2017-03,70
2017-04,87
2017-05,75
2017-06,64
2017-07,68
2017-08,75
2017-09,76
2017-10,75
2017-11,66
2017-12,62
2018-01,78
2018-02,70
2018-03,69
2018-04,78
2018-05,80
2018-06,85
2018-07,100
2018-08,96
2018-09,85
2018-10,76
2018-11,69
2018-12,81
2019-01,75
2019-02,87
2019-03,82
2019-04,84
2019-05,81
2019-06,86
2019-07,89
2019-08,99
2019-09,95
2019-10,84
2019-11,80
2019-12,70
2020-01,83
2020-02,80
2020-03,72
2020-04,82
2020-05,77
2020-06,73
2020-07,87
2020-08,83
2020-09,82
2020-10,71
2020-11,76
2020-12,69
2021-01,75
2021-02,76
2021-03,70
2021-04,77
2021-05,72
2021-06,83
2021-07,90
2021-08,67
2021-09,68
2021-10,72
2021-11,68
2021-12,74
2022-01,76
2022-02,79
2022-03,89
2022-04,85
2022-05,81
2022-06,98
2022-07,90
2022-08,99
2022-09,89
2022-10,96
2022-11,74
2022-12,76
2023-01,80
2023-02,82
2023-03,84
2023-04,90
2023-05,84
2023-06,93
2023-07,98
2023-08,89
2023-09,77
2023-10,81
2023-11,87
2023-12,87
2024-01,91
2024-02,86
2024-03,80
2024-04,86
