Category: All categories

Month,gout: (San Antonio TX)
2014-01,63
2014-02,61
2014-03,66
2014-04,73
2014-05,70
2014-06,73
2014-07,72
2014-08,68
2014-09,84
2014-10,100
2014-11,64
2014-12,81
2015-01,93
2015-02,72
2015-03,66
2015-04,57
2015-05,72
2015-06,85
2015-07,72
2015-08,79
2015-09,66
2015-10,73
2015-11,79
2015-12,75
2016-01,77
2016-02,58
2016-03,62
2016-04,67
2016-05,63
2016-06,71
2016-07,70
2016-08,62
2016-09,73
2016-10,68
2016-11,65
2016-12,69
2017-01,72
2017-02,79
2017-03,72
2017-04,73
2017-05,85
2017-06,75
2017-07,79
2017-08,88
2017-09,78
2017-10,82
2017-11,71
2017-12,61
2018-01,76
2018-02,86
2018-03,73
2018-04,84
2018-05,75
2018-06,80
2018-07,95
2018-08,81
2018-09,97
2018-10,77
2018-11,86
2018-12,84
2019-01,95
2019-02,84
2019-03,82
2019-04,90
2019-05,90
2019-06,89
2019-07,82
2019-08,78
2019-09,83
2019-10,66
2019-11,83
2019-12,90
2020-01,95
2020-02,72
2020-03,65
2020-04,64
2020-05,67
2020-06,85
2020-07,72
2020-08,69
2020-09,81
2020-10,71
2020-11,67
2020-12,75
2021-01,73
2021-02,57
2021-03,72
2021-04,76
2021-05,82
2021-06,71
2021-07,76
2021-08,79
2021-09,90
2021-10,80
2021-11,68
2021-12,79
2022-01,74
2022-02,78
2022-03,94
2022-04,81
2022-05,88
2022-06,100
2022-07,92
2022-08,88
2022-09,96
2022-10,88
2022-11,84
2022-12,73
2023-01,73
2023-02,78
2023-03,84
2023-04,83
2023-05,94
2023-06,95
2023-07,94
2023-08,86
2023-09,89
2023-10,78
2023-11,90
2023-12,81
2024-01,82
2024-02,84
2024-03,85
2024-04,83
