Category: All categories,
,
Month,gout: (Seattle WA)
2004-01,79
2004-02,77
2004-03,0
2004-04,0
2004-05,52
2004-06,54
2004-07,0
2004-08,0
2004-09,0
2004-10,72
2004-11,65
2004-12,52
2005-01,70
2005-02,0
2005-03,73
2005-04,56
2005-05,77
2005-06,69
2005-07,0
2005-08,68
2005-09,59
2005-10,42
2005-11,55
2005-12,53
2006-01,64
2006-02,53
2006-03,75
2006-04,46
2006-05,71
2006-06,60
2006-07,78
2006-08,46
2006-09,51
2006-10,50
2006-11,77
2006-12,49
2007-01,50
2007-02,42
2007-03,61
2007-04,52
2007-05,47
2007-06,74
2007-07,90
2007-08,61
2007-09,73
2007-10,60
2007-11,51
2007-12,59
2008-01,66
2008-02,55
2008-03,65
2008-04,51
2008-05,69
2008-06,62
2008-07,55
2008-08,65
2008-09,54
2008-10,66
2008-11,56
2008-12,49
2009-01,63
2009-02,68
2009-03,66
2009-04,54
2009-05,61
2009-06,77
2009-07,72
2009-08,78
2009-09,56
2009-10,59
2009-11,53
2009-12,57
2010-01,84
2010-02,78
2010-03,80
2010-04,61
2010-05,78
2010-06,65
2010-07,85
2010-08,83
2010-09,77
2010-10,99
2010-11,91
2010-12,70
2011-01,85
2011-02,92
2011-03,86
2011-04,86
2011-05,88
2011-06,90
2011-07,89
2011-08,95
2011-09,84
2011-10,100
2011-11,75
2011-12,80
2012-01,88
2012-02,82
2012-03,82
2012-04,90
2012-05,86
2012-06,81
2012-07,77
2012-08,84
2012-09,71
2012-10,79
2012-11,62
2012-12,70
2013-01,68
2013-02,92
2013-03,74
2013-04,70
2013-05,85
2013-06,76
2013-07,78
2013-08,74
2013-09,73
2013-10,66
2013-11,54
2013-12,63
2014-01,69
2014-02,68
2014-03,72
2014-04,81
2014-05,74
2014-06,67
2014-07,77
2014-08,81
2014-09,84
2014-10,80
2014-11,69
2014-12,81
2015-01,77
2015-02,85
2015-03,82
2015-04,79
2015-05,76
2015-06,74
2015-07,85
2015-08,80
2015-09,70
2015-10,66
2015-11,66
2015-12,74
2016-01,74
2016-02,76
2016-03,80
2016-04,68
2016-05,79
2016-06,77
2016-07,85
2016-08,74
2016-09,67
2016-10,64
2016-11,67
2016-12,69
2017-01,77
2017-02,69
2017-03,74
2017-04,79
2017-05,79
2017-06,96
2017-07,92
2017-08,87
2017-09,80
2017-10,73
2017-11,69
2017-12,75
2018-01,81
2018-02,76
2018-03,81
2018-04,86
2018-05,86
2018-06,84
2018-07,94
2018-08,86
2018-09,81
2018-10,71
2018-11,84
2018-12,85
2019-01,90
2019-02,82
2019-03,88
2019-04,90
2019-05,87
2019-06,89
2019-07,95
2019-08,98
2019-09,82
2019-10,79
2019-11,79
2019-12,92
2020-01,82
2020-02,86
2020-03,69
2020-04,75
2020-05,80
2020-06,77
2020-07,86
2020-08,85
2020-09,71
2020-10,76
2020-11,73
2020-12,74
2021-01,85
2021-02,77
2021-03,76
2021-04,87
2021-05,83
2021-06,81
2021-07,85
2021-08,77
2021-09,80
2021-10,68
2021-11,70
2021-12,71
2022-01,82
2022-02,89
2022-03,81
2022-04,84
2022-05,83
2022-06,91
2022-07,87
2022-08,88
2022-09,79
2022-10,77
2022-11,71
2022-12,74
2023-01,81
2023-02,76
2023-03,85
2023-04,85
2023-05,92
2023-06,91
2023-07,91
2023-08,94
2023-09,72
2023-10,68
2023-11,83
2023-12,91
2024-01,82
2024-02,89
2024-03,87
2024-04,84
