Category: All categories,
,
Month,gout: (San Francisco CA)
2014-01,75
2014-02,65
2014-03,71
2014-04,70
2014-05,67
2014-06,71
2014-07,78
2014-08,67
2014-09,75
2014-10,76
2014-11,64
2014-12,67
2015-01,73
2015-02,71
2015-03,73
2015-04,72
2015-05,70
2015-06,77
2015-07,71
2015-08,79
2015-09,70
2015-10,62
2015-11,64
2015-12,67
2016-01,63
2016-02,68
2016-03,63
2016-04,67
2016-05,62
2016-06,77
2016-07,68
2016-08,71
2016-09,66
2016-10,71
2016-11,64
2016-12,56
2017-01,64
2017-02,70
2017-03,70
2017-04,75
2017-05,80
2017-06,69
2017-07,89
2017-08,78
2017-09,75
2017-10,67
2017-11,68
2017-12,65
2018-01,80
2018-02,70
2018-03,74
2018-04,78
2018-05,79
2018-06,86
2018-07,80
2018-08,79
2018-09,76
2018-10,72
2018-11,78
2018-12,74
2019-01,83
2019-02,79
2019-03,83
2019-04,80
2019-05,77
2019-06,83
2019-07,89
2019-08,83
2019-09,79
2019-10,72
2019-11,64
2019-12,78
2020-01,79
2020-02,71
2020-03,60
2020-04,65
2020-05,74
2020-06,82
2020-07,75
2020-08,72
2020-09,65
2020-10,72
2020-11,74
2020-12,78
2021-01,71
2021-02,80
2021-03,72
2021-04,79
2021-05,83
2021-06,88
2021-07,90
2021-08,81
2021-09,85
2021-10,83
2021-11,75
2021-12,74
2022-01,78
2022-02,80
2022-03,80
2022-04,80
2022-05,88
2022-06,91
2022-07,91
2022-08,96
2022-09,84
2022-10,74
2022-11,67
2022-12,74
2023-01,77
2023-02,77
2023-03,84
2023-04,84
2023-05,88
2023-06,96
2023-07,100
2023-08,94
2023-09,86
2023-10,82
2023-11,75
2023-12,78
2024-01,85
2024-02,84
2024-03,83
2024-04,89
