Category: All categories

Month,gout: (Washington DC)
2014-01,66
2014-02,64
2014-03,63
2014-04,64
2014-05,70
2014-06,69
2014-07,72
2014-08,71
2014-09,73
2014-10,75
2014-11,60
2014-12,67
2015-01,68
2015-02,56
2015-03,65
2015-04,67
2015-05,73
2015-06,84
2015-07,83
2015-08,82
2015-09,81
2015-10,67
2015-11,78
2015-12,85
2016-01,71
2016-02,79
2016-03,70
2016-04,77
2016-05,69
2016-06,78
2016-07,81
2016-08,75
2016-09,74
2016-10,73
2016-11,73
2016-12,76
2017-01,71
2017-02,78
2017-03,77
2017-04,86
2017-05,77
2017-06,81
2017-07,85
2017-08,90
2017-09,84
2017-10,75
2017-11,74
2017-12,76
2018-01,80
2018-02,77
2018-03,82
2018-04,83
2018-05,80
2018-06,88
2018-07,100
2018-08,84
2018-09,90
2018-10,75
2018-11,84
2018-12,81
2019-01,88
2019-02,92
2019-03,94
2019-04,80
2019-05,92
2019-06,92
2019-07,85
2019-08,85
2019-09,89
2019-10,83
2019-11,76
2019-12,76
2020-01,88
2020-02,85
2020-03,71
2020-04,83
2020-05,81
2020-06,78
2020-07,79
2020-08,89
2020-09,75
2020-10,69
2020-11,73
2020-12,72
2021-01,82
2021-02,85
2021-03,83
2021-04,77
2021-05,79
2021-06,89
2021-07,90
2021-08,83
2021-09,87
2021-10,81
2021-11,74
2021-12,80
2022-01,85
2022-02,85
2022-03,85
2022-04,86
2022-05,84
2022-06,96
2022-07,98
2022-08,90
2022-09,87
2022-10,82
2022-11,79
2022-12,79
2023-01,85
2023-02,90
2023-03,82
2023-04,86
2023-05,87
2023-06,82
2023-07,89
2023-08,87
2023-09,84
2023-10,81
2023-11,72
2023-12,78
2024-01,83
2024-02,89
2024-03,79
2024-04,92
