Category: All categories

Month,gout: (Alberta)
2014-01,65
2014-02,64
2014-03,61
2014-04,70
2014-05,77
2014-06,70
2014-07,79
2014-08,76
2014-09,82
2014-10,74
2014-11,70
2014-12,74
2015-01,69
2015-02,69
2015-03,72
2015-04,70
2015-05,76
2015-06,86
2015-07,75
2015-08,71
2015-09,60
2015-10,69
2015-11,75
2015-12,61
2016-01,65
2016-02,81
2016-03,69
2016-04,74
2016-05,71
2016-06,75
2016-07,82
2016-08,68
2016-09,68
2016-10,67
2016-11,74
2016-12,70
2017-01,79
2017-02,75
2017-03,75
2017-04,79
2017-05,84
2017-06,87
2017-07,90
2017-08,78
2017-09,70
2017-10,67
2017-11,73
2017-12,71
2018-01,72
2018-02,74
2018-03,86
2018-04,74
2018-05,79
2018-06,77
2018-07,83
2018-08,85
2018-09,75
2018-10,80
2018-11,75
2018-12,77
2019-01,82
2019-02,76
2019-03,92
2019-04,88
2019-05,90
2019-06,91
2019-07,91
2019-08,92
2019-09,75
2019-10,73
2019-11,82
2019-12,82
2020-01,90
2020-02,82
2020-03,71
2020-04,73
2020-05,83
2020-06,87
2020-07,88
2020-08,83
2020-09,74
2020-10,79
2020-11,75
2020-12,77
2021-01,90
2021-02,78
2021-03,86
2021-04,87
2021-05,84
2021-06,83
2021-07,100
2021-08,91
2021-09,77
2021-10,86
2021-11,73
2021-12,67
2022-01,69
2022-02,73
2022-03,75
2022-04,78
2022-05,75
2022-06,93
2022-07,95
2022-08,99
2022-09,87
2022-10,88
2022-11,70
2022-12,74
2023-01,77
2023-02,83
2023-03,83
2023-04,85
2023-05,89
2023-06,97
2023-07,84
2023-08,86
2023-09,76
2023-10,85
2023-11,82
2023-12,94
2024-01,79
2024-02,78
2024-03,78
2024-04,91
