Category: All categories,
,
Month,gout: (Montreal)
2014-01,39
2014-02,41
2014-03,39
2014-04,38
2014-05,39
2014-06,37
2014-07,35
2014-08,44
2014-09,40
2014-10,39
2014-11,41
2014-12,40
2015-01,39
2015-02,40
2015-03,48
2015-04,41
2015-05,39
2015-06,41
2015-07,37
2015-08,38
2015-09,40
2015-10,36
2015-11,39
2015-12,44
2016-01,49
2016-02,51
2016-03,100
2016-04,48
2016-05,44
2016-06,47
2016-07,45
2016-08,43
2016-09,45
2016-10,49
2016-11,53
2016-12,56
2017-01,48
2017-02,47
2017-03,46
2017-04,47
2017-05,43
2017-06,50
2017-07,45
2017-08,48
2017-09,43
2017-10,49
2017-11,47
2017-12,53
2018-01,49
2018-02,49
2018-03,48
2018-04,49
2018-05,47
2018-06,44
2018-07,49
2018-08,46
2018-09,52
2018-10,49
2018-11,51
2018-12,60
2019-01,57
2019-02,52
2019-03,52
2019-04,49
2019-05,50
2019-06,46
2019-07,48
2019-08,48
2019-09,55
2019-10,49
2019-11,48
2019-12,52
2020-01,49
2020-02,48
2020-03,48
2020-04,53
2020-05,57
2020-06,47
2020-07,51
2020-08,51
2020-09,53
2020-10,55
2020-11,61
2020-12,78
2021-01,69
2021-02,64
2021-03,56
2021-04,57
2021-05,56
2021-06,48
2021-07,54
2021-08,57
2021-09,61
2021-10,55
2021-11,55
2021-12,66
2022-01,73
2022-02,62
2022-03,59
2022-04,67
2022-05,61
2022-06,62
2022-07,71
2022-08,68
2022-09,64
2022-10,71
2022-11,72
2022-12,73
2023-01,68
2023-02,66
2023-03,71
2023-04,67
2023-05,60
2023-06,65
2023-07,65
2023-08,64
2023-09,66
2023-10,67
2023-11,67
2023-12,80
2024-01,69
2024-02,64
2024-03,73
2024-04,71
