Category: All categories

Month,gout: (Saskatchewan)
2014-01,58
2014-02,76
2014-03,54
2014-04,62
2014-05,57
2014-06,67
2014-07,76
2014-08,69
2014-09,58
2014-10,64
2014-11,68
2014-12,70
2015-01,85
2015-02,39
2015-03,59
2015-04,71
2015-05,74
2015-06,71
2015-07,65
2015-08,63
2015-09,60
2015-10,54
2015-11,63
2015-12,67
2016-01,65
2016-02,76
2016-03,52
2016-04,76
2016-05,78
2016-06,64
2016-07,63
2016-08,60
2016-09,58
2016-10,68
2016-11,61
2016-12,58
2017-01,80
2017-02,68
2017-03,83
2017-04,73
2017-05,71
2017-06,77
2017-07,93
2017-08,85
2017-09,76
2017-10,70
2017-11,83
2017-12,73
2018-01,75
2018-02,59
2018-03,68
2018-04,70
2018-05,87
2018-06,87
2018-07,76
2018-08,73
2018-09,79
2018-10,63
2018-11,66
2018-12,73
2019-01,79
2019-02,57
2019-03,69
2019-04,77
2019-05,76
2019-06,75
2019-07,86
2019-08,95
2019-09,73
2019-10,79
2019-11,63
2019-12,75
2020-01,94
2020-02,71
2020-03,74
2020-04,69
2020-05,90
2020-06,75
2020-07,81
2020-08,86
2020-09,62
2020-10,75
2020-11,49
2020-12,73
2021-01,100
2021-02,66
2021-03,69
2021-04,74
2021-05,76
2021-06,79
2021-07,85
2021-08,78
2021-09,71
2021-10,68
2021-11,68
2021-12,66
2022-01,49
2022-02,62
2022-03,63
2022-04,75
2022-05,73
2022-06,78
2022-07,80
2022-08,86
2022-09,86
2022-10,52
2022-11,53
2022-12,73
2023-01,86
2023-02,84
2023-03,77
2023-04,85
2023-05,72
2023-06,81
2023-07,59
2023-08,81
2023-09,63
2023-10,75
2023-11,78
2023-12,78
2024-01,75
2024-02,57
2024-03,67
2024-04,79
