Category: All categories

Month,gout: (Ontario)
2014-01,61
2014-02,66
2014-03,68
2014-04,74
2014-05,78
2014-06,80
2014-07,83
2014-08,74
2014-09,77
2014-10,76
2014-11,69
2014-12,75
2015-01,71
2015-02,74
2015-03,72
2015-04,85
2015-05,83
2015-06,89
2015-07,88
2015-08,86
2015-09,72
2015-10,69
2015-11,71
2015-12,73
2016-01,67
2016-02,75
2016-03,72
2016-04,69
2016-05,79
2016-06,81
2016-07,82
2016-08,82
2016-09,76
2016-10,74
2016-11,67
2016-12,73
2017-01,82
2017-02,70
2017-03,85
2017-04,85
2017-05,86
2017-06,88
2017-07,92
2017-08,88
2017-09,79
2017-10,74
2017-11,77
2017-12,82
2018-01,78
2018-02,78
2018-03,82
2018-04,81
2018-05,87
2018-06,85
2018-07,94
2018-08,92
2018-09,85
2018-10,76
2018-11,75
2018-12,79
2019-01,88
2019-02,78
2019-03,82
2019-04,84
2019-05,86
2019-06,93
2019-07,96
2019-08,87
2019-09,85
2019-10,75
2019-11,74
2019-12,84
2020-01,77
2020-02,82
2020-03,70
2020-04,77
2020-05,84
2020-06,92
2020-07,89
2020-08,84
2020-09,70
2020-10,79
2020-11,75
2020-12,75
2021-01,96
2021-02,84
2021-03,87
2021-04,83
2021-05,94
2021-06,90
2021-07,92
2021-08,90
2021-09,76
2021-10,83
2021-11,78
2021-12,75
2022-01,71
2022-02,74
2022-03,85
2022-04,77
2022-05,90
2022-06,100
2022-07,99
2022-08,96
2022-09,82
2022-10,74
2022-11,74
2022-12,75
2023-01,79
2023-02,78
2023-03,86
2023-04,88
2023-05,89
2023-06,93
2023-07,93
2023-08,88
2023-09,77
2023-10,75
2023-11,77
2023-12,86
2024-01,87
2024-02,82
2024-03,88
2024-04,84
