Category: All categories

Month,gout: (Alaska)
2014-01,49
2014-02,46
2014-03,46
2014-04,83
2014-05,53
2014-06,46
2014-07,60
2014-08,76
2014-09,43
2014-10,48
2014-11,73
2014-12,74
2015-01,62
2015-02,55
2015-03,60
2015-04,51
2015-05,63
2015-06,67
2015-07,75
2015-08,59
2015-09,54
2015-10,58
2015-11,43
2015-12,50
2016-01,57
2016-02,52
2016-03,60
2016-04,51
2016-05,43
2016-06,60
2016-07,67
2016-08,54
2016-09,47
2016-10,62
2016-11,66
2016-12,54
2017-01,27
2017-02,52
2017-03,58
2017-04,63
2017-05,72
2017-06,71
2017-07,61
2017-08,59
2017-09,84
2017-10,66
2017-11,51
2017-12,64
2018-01,69
2018-02,56
2018-03,47
2018-04,61
2018-05,75
2018-06,69
2018-07,64
2018-08,64
2018-09,65
2018-10,70
2018-11,62
2018-12,59
2019-01,68
2019-02,44
2019-03,62
2019-04,51
2019-05,64
2019-06,62
2019-07,68
2019-08,63
2019-09,64
2019-10,75
2019-11,69
2019-12,63
2020-01,53
2020-02,100
2020-03,52
2020-04,61
2020-05,65
2020-06,60
2020-07,57
2020-08,62
2020-09,47
2020-10,74
2020-11,60
2020-12,73
2021-01,42
2021-02,59
2021-03,58
2021-04,61
2021-05,58
2021-06,71
2021-07,78
2021-08,69
2021-09,78
2021-10,53
2021-11,62
2021-12,53
2022-01,57
2022-02,71
2022-03,60
2022-04,69
2022-05,71
2022-06,78
2022-07,80
2022-08,85
2022-09,79
2022-10,58
2022-11,57
2022-12,69
2023-01,74
2023-02,59
2023-03,75
2023-04,72
2023-05,55
2023-06,74
2023-07,57
2023-08,67
2023-09,61
2023-10,68
2023-11,49
2023-12,57
2024-01,66
2024-02,79
2024-03,76
2024-04,72
2024-05,71
2024-06,76
2024-07,71
2024-08,72
2024-09,61
2024-10,71
2024-11,81
2024-12,86
