Category: All categories

Month,gout: (Alabama)
2014-01,73
2014-02,72
2014-03,77
2014-04,71
2014-05,81
2014-06,79
2014-07,88
2014-08,73
2014-09,70
2014-10,85
2014-11,69
2014-12,77
2015-01,80
2015-02,63
2015-03,88
2015-04,82
2015-05,84
2015-06,95
2015-07,85
2015-08,73
2015-09,72
2015-10,84
2015-11,78
2015-12,80
2016-01,79
2016-02,71
2016-03,76
2016-04,77
2016-05,80
2016-06,100
2016-07,85
2016-08,80
2016-09,74
2016-10,83
2016-11,66
2016-12,86
2017-01,93
2017-02,78
2017-03,88
2017-04,84
2017-05,93
2017-06,93
2017-07,89
2017-08,87
2017-09,83
2017-10,89
2017-11,75
2017-12,83
2018-01,78
2018-02,88
2018-03,80
2018-04,87
2018-05,90
2018-06,97
2018-07,96
2018-08,82
2018-09,88
2018-10,85
2018-11,70
2018-12,84
2019-01,91
2019-02,94
2019-03,91
2019-04,80
2019-05,92
2019-06,96
2019-07,91
2019-08,84
2019-09,85
2019-10,81
2019-11,80
2019-12,83
2020-01,87
2020-02,83
2020-03,83
2020-04,76
2020-05,86
2020-06,82
2020-07,86
2020-08,76
2020-09,73
2020-10,78
2020-11,82
2020-12,74
2021-01,75
2021-02,89
2021-03,83
2021-04,92
2021-05,86
2021-06,85
2021-07,91
2021-08,86
2021-09,81
2021-10,79
2021-11,72
2021-12,83
2022-01,88
2022-02,90
2022-03,94
2022-04,86
2022-05,89
2022-06,89
2022-07,98
2022-08,87
2022-09,82
2022-10,86
2022-11,75
2022-12,88
2023-01,81
2023-02,86
2023-03,81
2023-04,88
2023-05,92
2023-06,91
2023-07,86
2023-08,86
2023-09,82
2023-10,83
2023-11,73
2023-12,82
2024-01,80
2024-02,89
2024-03,76
2024-04,86
2024-05,89
2024-06,90
2024-07,86
2024-08,81
2024-09,81
2024-10,78
2024-11,79
2024-12,83
