Category: All categories

Month,gout: (Arkansas)
2014-01,62
2014-02,59
2014-03,63
2014-04,90
2014-05,72
2014-06,71
2014-07,67
2014-08,66
2014-09,71
2014-10,71
2014-11,52
2014-12,60
2015-01,61
2015-02,68
2015-03,65
2015-04,71
2015-05,73
2015-06,74
2015-07,75
2015-08,72
2015-09,59
2015-10,64
2015-11,67
2015-12,64
2016-01,65
2016-02,58
2016-03,60
2016-04,72
2016-05,61
2016-06,68
2016-07,76
2016-08,63
2016-09,71
2016-10,80
2016-11,65
2016-12,57
2017-01,69
2017-02,70
2017-03,70
2017-04,77
2017-05,78
2017-06,81
2017-07,70
2017-08,71
2017-09,65
2017-10,78
2017-11,53
2017-12,69
2018-01,69
2018-02,74
2018-03,69
2018-04,77
2018-05,78
2018-06,86
2018-07,96
2018-08,69
2018-09,76
2018-10,80
2018-11,65
2018-12,75
2019-01,82
2019-02,77
2019-03,78
2019-04,73
2019-05,77
2019-06,84
2019-07,84
2019-08,85
2019-09,77
2019-10,75
2019-11,68
2019-12,73
2020-01,75
2020-02,76
2020-03,74
2020-04,65
2020-05,81
2020-06,78
2020-07,76
2020-08,73
2020-09,67
2020-10,78
2020-11,76
2020-12,74
2021-01,73
2021-02,70
2021-03,79
2021-04,79
2021-05,75
2021-06,71
2021-07,69
2021-08,75
2021-09,80
2021-10,72
2021-11,67
2021-12,76
2022-01,74
2022-02,76
2022-03,90
2022-04,85
2022-05,84
2022-06,92
2022-07,100
2022-08,88
2022-09,73
2022-10,74
2022-11,64
2022-12,75
2023-01,75
2023-02,76
2023-03,77
2023-04,88
2023-05,83
2023-06,89
2023-07,78
2023-08,82
2023-09,71
2023-10,78
2023-11,75
2023-12,67
2024-01,66
2024-02,75
2024-03,73
2024-04,73
2024-05,76
2024-06,76
2024-07,67
2024-08,78
2024-09,73
2024-10,71
2024-11,80
2024-12,90
