Category: All categories

Month,gout: (Arizona)
2014-01,78
2014-02,75
2014-03,84
2014-04,81
2014-05,75
2014-06,83
2014-07,85
2014-08,80
2014-09,76
2014-10,95
2014-11,77
2014-12,89
2015-01,79
2015-02,92
2015-03,85
2015-04,86
2015-05,92
2015-06,80
2015-07,76
2015-08,84
2015-09,78
2015-10,77
2015-11,80
2015-12,78
2016-01,77
2016-02,75
2016-03,87
2016-04,74
2016-05,77
2016-06,82
2016-07,81
2016-08,78
2016-09,74
2016-10,80
2016-11,77
2016-12,80
2017-01,79
2017-02,81
2017-03,81
2017-04,90
2017-05,84
2017-06,90
2017-07,85
2017-08,81
2017-09,80
2017-10,83
2017-11,83
2017-12,82
2018-01,79
2018-02,86
2018-03,83
2018-04,87
2018-05,87
2018-06,87
2018-07,93
2018-08,86
2018-09,88
2018-10,79
2018-11,75
2018-12,84
2019-01,93
2019-02,85
2019-03,92
2019-04,91
2019-05,94
2019-06,92
2019-07,89
2019-08,86
2019-09,87
2019-10,87
2019-11,89
2019-12,80
2020-01,92
2020-02,93
2020-03,74
2020-04,81
2020-05,79
2020-06,82
2020-07,75
2020-08,77
2020-09,76
2020-10,82
2020-11,75
2020-12,73
2021-01,79
2021-02,86
2021-03,81
2021-04,83
2021-05,86
2021-06,85
2021-07,85
2021-08,81
2021-09,76
2021-10,73
2021-11,81
2021-12,79
2022-01,86
2022-02,85
2022-03,96
2022-04,87
2022-05,88
2022-06,95
2022-07,87
2022-08,97
2022-09,88
2022-10,85
2022-11,74
2022-12,86
2023-01,84
2023-02,83
2023-03,86
2023-04,90
2023-05,91
2023-06,96
2023-07,89
2023-08,86
2023-09,83
2023-10,83
2023-11,84
2023-12,79
2024-01,88
2024-02,82
2024-03,83
2024-04,86
2024-05,92
2024-06,100
2024-07,82
2024-08,79
2024-09,84
2024-10,88
2024-11,80
2024-12,93
