Category: All categories

Month,gout: (California)
2014-01,73
2014-02,70
2014-03,71
2014-04,75
2014-05,71
2014-06,75
2014-07,87
2014-08,72
2014-09,78
2014-10,75
2014-11,69
2014-12,71
2015-01,73
2015-02,71
2015-03,81
2015-04,73
2015-05,73
2015-06,80
2015-07,78
2015-08,81
2015-09,80
2015-10,72
2015-11,70
2015-12,69
2016-01,68
2016-02,70
2016-03,66
2016-04,66
2016-05,71
2016-06,71
2016-07,77
2016-08,74
2016-09,70
2016-10,70
2016-11,64
2016-12,71
2017-01,63
2017-02,67
2017-03,70
2017-04,74
2017-05,70
2017-06,76
2017-07,81
2017-08,79
2017-09,76
2017-10,72
2017-11,68
2017-12,70
2018-01,70
2018-02,75
2018-03,80
2018-04,77
2018-05,73
2018-06,82
2018-07,88
2018-08,81
2018-09,78
2018-10,71
2018-11,72
2018-12,76
2019-01,83
2019-02,76
2019-03,81
2019-04,81
2019-05,75
2019-06,80
2019-07,81
2019-08,82
2019-09,82
2019-10,75
2019-11,71
2019-12,72
2020-01,77
2020-02,80
2020-03,63
2020-04,70
2020-05,85
2020-06,81
2020-07,78
2020-08,76
2020-09,68
2020-10,69
2020-11,72
2020-12,71
2021-01,78
2021-02,75
2021-03,72
2021-04,78
2021-05,83
2021-06,81
2021-07,82
2021-08,80
2021-09,78
2021-10,74
2021-11,73
2021-12,72
2022-01,77
2022-02,80
2022-03,81
2022-04,80
2022-05,82
2022-06,90
2022-07,90
2022-08,100
2022-09,91
2022-10,78
2022-11,68
2022-12,74
2023-01,75
2023-02,76
2023-03,81
2023-04,84
2023-05,85
2023-06,94
2023-07,95
2023-08,86
2023-09,83
2023-10,78
2023-11,75
2023-12,80
2024-01,77
2024-02,77
2024-03,82
2024-04,89
2024-05,84
2024-06,94
2024-07,91
2024-08,89
2024-09,83
2024-10,80
2024-11,82
2024-12,85
