Category: All categories

Month,gout: (Colorado)
2014-01,76
2014-02,69
2014-03,73
2014-04,75
2014-05,74
2014-06,89
2014-07,88
2014-08,72
2014-09,71
2014-10,79
2014-11,76
2014-12,72
2015-01,81
2015-02,69
2015-03,72
2015-04,68
2015-05,72
2015-06,91
2015-07,92
2015-08,74
2015-09,70
2015-10,81
2015-11,76
2015-12,79
2016-01,72
2016-02,68
2016-03,78
2016-04,78
2016-05,74
2016-06,76
2016-07,82
2016-08,75
2016-09,76
2016-10,75
2016-11,71
2016-12,76
2017-01,80
2017-02,83
2017-03,73
2017-04,85
2017-05,84
2017-06,88
2017-07,83
2017-08,85
2017-09,79
2017-10,73
2017-11,73
2017-12,73
2018-01,76
2018-02,82
2018-03,79
2018-04,84
2018-05,78
2018-06,85
2018-07,95
2018-08,81
2018-09,86
2018-10,67
2018-11,73
2018-12,79
2019-01,88
2019-02,81
2019-03,91
2019-04,82
2019-05,81
2019-06,93
2019-07,92
2019-08,87
2019-09,78
2019-10,78
2019-11,78
2019-12,81
2020-01,82
2020-02,81
2020-03,71
2020-04,74
2020-05,79
2020-06,88
2020-07,83
2020-08,79
2020-09,65
2020-10,72
2020-11,74
2020-12,82
2021-01,79
2021-02,81
2021-03,81
2021-04,85
2021-05,85
2021-06,83
2021-07,89
2021-08,81
2021-09,75
2021-10,72
2021-11,73
2021-12,72
2022-01,76
2022-02,80
2022-03,76
2022-04,80
2022-05,86
2022-06,97
2022-07,100
2022-08,83
2022-09,82
2022-10,74
2022-11,80
2022-12,80
2023-01,78
2023-02,86
2023-03,80
2023-04,86
2023-05,86
2023-06,96
2023-07,90
2023-08,87
2023-09,77
2023-10,77
2023-11,78
2023-12,81
2024-01,80
2024-02,80
2024-03,84
2024-04,87
2024-05,85
2024-06,88
2024-07,91
2024-08,80
2024-09,82
2024-10,74
2024-11,76
2024-12,97
