Category: All categories

Month,gout: (Connecticut)
2014-01,68
2014-02,59
2014-03,61
2014-04,76
2014-05,51
2014-06,64
2014-07,81
2014-08,80
2014-09,79
2014-10,77
2014-11,71
2014-12,59
2015-01,51
2015-02,65
2015-03,78
2015-04,79
2015-05,76
2015-06,100
2015-07,88
2015-08,81
2015-09,77
2015-10,66
2015-11,65
2015-12,71
2016-01,64
2016-02,68
2016-03,73
2016-04,59
2016-05,71
2016-06,84
2016-07,79
2016-08,81
2016-09,68
2016-10,77
2016-11,69
2016-12,63
2017-01,71
2017-02,62
2017-03,76
2017-04,81
2017-05,71
2017-06,81
2017-07,92
2017-08,73
2017-09,84
2017-10,76
2017-11,69
2017-12,72
2018-01,74
2018-02,80
2018-03,81
2018-04,76
2018-05,85
2018-06,92
2018-07,94
2018-08,80
2018-09,82
2018-10,71
2018-11,66
2018-12,78
2019-01,81
2019-02,90
2019-03,88
2019-04,91
2019-05,80
2019-06,90
2019-07,90
2019-08,84
2019-09,83
2019-10,74
2019-11,76
2019-12,70
2020-01,79
2020-02,72
2020-03,65
2020-04,67
2020-05,76
2020-06,79
2020-07,90
2020-08,84
2020-09,73
2020-10,75
2020-11,64
2020-12,71
2021-01,70
2021-02,77
2021-03,71
2021-04,87
2021-05,81
2021-06,90
2021-07,86
2021-08,83
2021-09,80
2021-10,73
2021-11,69
2021-12,74
2022-01,80
2022-02,77
2022-03,77
2022-04,81
2022-05,84
2022-06,88
2022-07,88
2022-08,83
2022-09,84
2022-10,78
2022-11,72
2022-12,65
2023-01,75
2023-02,71
2023-03,70
2023-04,81
2023-05,88
2023-06,89
2023-07,95
2023-08,90
2023-09,77
2023-10,69
2023-11,74
2023-12,75
2024-01,79
2024-02,73
2024-03,71
2024-04,81
2024-05,82
2024-06,82
2024-07,85
2024-08,84
2024-09,69
2024-10,69
2024-11,76
2024-12,83
