Category: All categories

Month,gout: (Delaware)
2014-01,47
2014-02,65
2014-03,51
2014-04,56
2014-05,74
2014-06,63
2014-07,67
2014-08,55
2014-09,81
2014-10,70
2014-11,59
2014-12,96
2015-01,62
2015-02,52
2015-03,76
2015-04,77
2015-05,82
2015-06,61
2015-07,100
2015-08,65
2015-09,72
2015-10,51
2015-11,77
2015-12,51
2016-01,49
2016-02,49
2016-03,52
2016-04,65
2016-05,57
2016-06,72
2016-07,64
2016-08,54
2016-09,77
2016-10,100
2016-11,59
2016-12,72
2017-01,63
2017-02,66
2017-03,58
2017-04,70
2017-05,80
2017-06,75
2017-07,68
2017-08,66
2017-09,70
2017-10,75
2017-11,71
2017-12,59
2018-01,65
2018-02,72
2018-03,73
2018-04,72
2018-05,85
2018-06,78
2018-07,94
2018-08,82
2018-09,81
2018-10,60
2018-11,53
2018-12,58
2019-01,71
2019-02,82
2019-03,72
2019-04,76
2019-05,90
2019-06,84
2019-07,72
2019-08,77
2019-09,81
2019-10,64
2019-11,69
2019-12,90
2020-01,67
2020-02,67
2020-03,58
2020-04,57
2020-05,73
2020-06,78
2020-07,75
2020-08,80
2020-09,59
2020-10,71
2020-11,52
2020-12,65
2021-01,74
2021-02,60
2021-03,76
2021-04,63
2021-05,69
2021-06,82
2021-07,74
2021-08,70
2021-09,67
2021-10,70
2021-11,54
2021-12,64
2022-01,71
2022-02,90
2022-03,73
2022-04,89
2022-05,73
2022-06,98
2022-07,83
2022-08,81
2022-09,71
2022-10,65
2022-11,78
2022-12,83
2023-01,93
2023-02,81
2023-03,89
2023-04,77
2023-05,81
2023-06,79
2023-07,72
2023-08,86
2023-09,71
2023-10,73
2023-11,58
2023-12,75
2024-01,81
2024-02,84
2024-03,63
2024-04,84
2024-05,77
2024-06,94
2024-07,86
2024-08,61
2024-09,73
2024-10,65
2024-11,75
2024-12,82
