Category: All categories

Month,gout: (Florida)
2014-01,73
2014-02,77
2014-03,71
2014-04,82
2014-05,76
2014-06,79
2014-07,85
2014-08,73
2014-09,79
2014-10,82
2014-11,76
2014-12,77
2015-01,78
2015-02,75
2015-03,85
2015-04,81
2015-05,85
2015-06,82
2015-07,81
2015-08,80
2015-09,78
2015-10,80
2015-11,87
2015-12,74
2016-01,74
2016-02,75
2016-03,73
2016-04,75
2016-05,78
2016-06,72
2016-07,77
2016-08,72
2016-09,76
2016-10,71
2016-11,76
2016-12,81
2017-01,81
2017-02,80
2017-03,87
2017-04,84
2017-05,80
2017-06,83
2017-07,85
2017-08,83
2017-09,70
2017-10,79
2017-11,78
2017-12,80
2018-01,81
2018-02,87
2018-03,89
2018-04,92
2018-05,82
2018-06,86
2018-07,95
2018-08,81
2018-09,87
2018-10,82
2018-11,82
2018-12,90
2019-01,89
2019-02,98
2019-03,100
2019-04,92
2019-05,90
2019-06,87
2019-07,87
2019-08,85
2019-09,85
2019-10,88
2019-11,88
2019-12,88
2020-01,88
2020-02,91
2020-03,79
2020-04,78
2020-05,81
2020-06,82
2020-07,84
2020-08,80
2020-09,77
2020-10,80
2020-11,75
2020-12,75
2021-01,79
2021-02,87
2021-03,81
2021-04,82
2021-05,82
2021-06,86
2021-07,81
2021-08,75
2021-09,78
2021-10,83
2021-11,82
2021-12,85
2022-01,87
2022-02,95
2022-03,94
2022-04,85
2022-05,93
2022-06,91
2022-07,92
2022-08,89
2022-09,83
2022-10,87
2022-11,82
2022-12,81
2023-01,91
2023-02,92
2023-03,94
2023-04,96
2023-05,88
2023-06,92
2023-07,84
2023-08,83
2023-09,84
2023-10,79
2023-11,81
2023-12,87
2024-01,82
2024-02,88
2024-03,87
2024-04,84
2024-05,85
2024-06,90
2024-07,86
2024-08,77
2024-09,82
2024-10,80
2024-11,81
2024-12,88
