Category: All categories

Month,gout: (Georgia)
2014-01,62
2014-02,65
2014-03,67
2014-04,74
2014-05,72
2014-06,80
2014-07,80
2014-08,70
2014-09,76
2014-10,73
2014-11,72
2014-12,75
2015-01,78
2015-02,63
2015-03,74
2015-04,78
2015-05,77
2015-06,84
2015-07,89
2015-08,77
2015-09,75
2015-10,73
2015-11,76
2015-12,80
2016-01,77
2016-02,76
2016-03,79
2016-04,85
2016-05,82
2016-06,84
2016-07,84
2016-08,80
2016-09,77
2016-10,77
2016-11,74
2016-12,76
2017-01,83
2017-02,80
2017-03,83
2017-04,82
2017-05,83
2017-06,90
2017-07,91
2017-08,81
2017-09,81
2017-10,82
2017-11,76
2017-12,80
2018-01,81
2018-02,90
2018-03,85
2018-04,92
2018-05,95
2018-06,97
2018-07,99
2018-08,88
2018-09,95
2018-10,80
2018-11,76
2018-12,88
2019-01,91
2019-02,85
2019-03,85
2019-04,89
2019-05,92
2019-06,97
2019-07,94
2019-08,91
2019-09,84
2019-10,85
2019-11,80
2019-12,85
2020-01,89
2020-02,83
2020-03,73
2020-04,71
2020-05,83
2020-06,86
2020-07,87
2020-08,79
2020-09,80
2020-10,77
2020-11,74
2020-12,79
2021-01,77
2021-02,80
2021-03,83
2021-04,77
2021-05,89
2021-06,88
2021-07,83
2021-08,82
2021-09,77
2021-10,80
2021-11,82
2021-12,83
2022-01,87
2022-02,84
2022-03,83
2022-04,87
2022-05,92
2022-06,97
2022-07,96
2022-08,90
2022-09,91
2022-10,85
2022-11,76
2022-12,80
2023-01,85
2023-02,95
2023-03,91
2023-04,88
2023-05,94
2023-06,100
2023-07,95
2023-08,85
2023-09,80
2023-10,84
2023-11,78
2023-12,76
2024-01,89
2024-02,80
2024-03,80
2024-04,83
2024-05,86
2024-06,89
2024-07,86
2024-08,81
2024-09,81
2024-10,84
2024-11,88
2024-12,87
