Category: All categories

Month,gout: (Hawaii)
2014-01,71
2014-02,67
2014-03,56
2014-04,57
2014-05,67
2014-06,66
2014-07,59
2014-08,52
2014-09,54
2014-10,62
2014-11,49
2014-12,50
2015-01,65
2015-02,59
2015-03,50
2015-04,63
2015-05,57
2015-06,72
2015-07,73
2015-08,62
2015-09,63
2015-10,65
2015-11,61
2015-12,59
2016-01,60
2016-02,74
2016-03,81
2016-04,73
2016-05,69
2016-06,75
2016-07,81
2016-08,64
2016-09,58
2016-10,71
2016-11,69
2016-12,61
2017-01,79
2017-02,73
2017-03,80
2017-04,70
2017-05,64
2017-06,74
2017-07,81
2017-08,80
2017-09,67
2017-10,79
2017-11,70
2017-12,68
2018-01,66
2018-02,72
2018-03,73
2018-04,68
2018-05,72
2018-06,78
2018-07,82
2018-08,67
2018-09,77
2018-10,69
2018-11,63
2018-12,78
2019-01,70
2019-02,72
2019-03,77
2019-04,79
2019-05,83
2019-06,80
2019-07,83
2019-08,82
2019-09,76
2019-10,80
2019-11,91
2019-12,71
2020-01,82
2020-02,71
2020-03,72
2020-04,80
2020-05,88
2020-06,81
2020-07,92
2020-08,85
2020-09,90
2020-10,74
2020-11,78
2020-12,85
2021-01,79
2021-02,91
2021-03,84
2021-04,68
2021-05,89
2021-06,90
2021-07,80
2021-08,77
2021-09,77
2021-10,84
2021-11,73
2021-12,79
2022-01,81
2022-02,74
2022-03,77
2022-04,77
2022-05,70
2022-06,84
2022-07,96
2022-08,89
2022-09,79
2022-10,82
2022-11,89
2022-12,72
2023-01,77
2023-02,91
2023-03,95
2023-04,88
2023-05,79
2023-06,88
2023-07,82
2023-08,91
2023-09,84
2023-10,73
2023-11,87
2023-12,80
2024-01,82
2024-02,85
2024-03,86
2024-04,95
2024-05,83
2024-06,83
2024-07,88
2024-08,96
2024-09,100
2024-10,97
2024-11,89
2024-12,85
