Category: All categories

Month,gout: (Iowa)
2014-01,64
2014-02,57
2014-03,59
2014-04,62
2014-05,72
2014-06,73
2014-07,79
2014-08,60
2014-09,56
2014-10,75
2014-11,65
2014-12,73
2015-01,58
2015-02,53
2015-03,68
2015-04,73
2015-05,68
2015-06,75
2015-07,80
2015-08,68
2015-09,62
2015-10,65
2015-11,60
2015-12,57
2016-01,58
2016-02,65
2016-03,58
2016-04,59
2016-05,66
2016-06,77
2016-07,73
2016-08,69
2016-09,53
2016-10,58
2016-11,52
2016-12,53
2017-01,59
2017-02,64
2017-03,68
2017-04,75
2017-05,74
2017-06,76
2017-07,71
2017-08,82
2017-09,65
2017-10,72
2017-11,68
2017-12,63
2018-01,63
2018-02,67
2018-03,62
2018-04,77
2018-05,74
2018-06,84
2018-07,85
2018-08,77
2018-09,68
2018-10,67
2018-11,67
2018-12,72
2019-01,65
2019-02,64
2019-03,80
2019-04,76
2019-05,77
2019-06,78
2019-07,77
2019-08,75
2019-09,73
2019-10,67
2019-11,70
2019-12,71
2020-01,77
2020-02,69
2020-03,66
2020-04,70
2020-05,70
2020-06,76
2020-07,80
2020-08,66
2020-09,61
2020-10,75
2020-11,65
2020-12,72
2021-01,78
2021-02,73
2021-03,74
2021-04,71
2021-05,88
2021-06,80
2021-07,94
2021-08,77
2021-09,69
2021-10,69
2021-11,67
2021-12,65
2022-01,76
2022-02,72
2022-03,75
2022-04,82
2022-05,81
2022-06,86
2022-07,81
2022-08,83
2022-09,69
2022-10,77
2022-11,72
2022-12,74
2023-01,70
2023-02,81
2023-03,69
2023-04,88
2023-05,80
2023-06,92
2023-07,100
2023-08,83
2023-09,72
2023-10,68
2023-11,74
2023-12,72
2024-01,77
2024-02,75
2024-03,73
2024-04,74
2024-05,78
2024-06,76
2024-07,77
2024-08,69
2024-09,72
2024-10,80
2024-11,78
2024-12,79
