Category: All categories

Month,gout: (Idaho)
2014-01,57
2014-02,64
2014-03,70
2014-04,61
2014-05,71
2014-06,63
2014-07,64
2014-08,48
2014-09,62
2014-10,76
2014-11,64
2014-12,69
2015-01,65
2015-02,80
2015-03,68
2015-04,68
2015-05,66
2015-06,72
2015-07,78
2015-08,43
2015-09,71
2015-10,62
2015-11,62
2015-12,48
2016-01,63
2016-02,51
2016-03,55
2016-04,73
2016-05,58
2016-06,80
2016-07,71
2016-08,52
2016-09,62
2016-10,58
2016-11,55
2016-12,53
2017-01,64
2017-02,56
2017-03,62
2017-04,67
2017-05,77
2017-06,72
2017-07,67
2017-08,77
2017-09,64
2017-10,62
2017-11,68
2017-12,69
2018-01,67
2018-02,69
2018-03,66
2018-04,73
2018-05,75
2018-06,74
2018-07,84
2018-08,76
2018-09,78
2018-10,78
2018-11,71
2018-12,65
2019-01,71
2019-02,63
2019-03,73
2019-04,84
2019-05,81
2019-06,81
2019-07,74
2019-08,67
2019-09,75
2019-10,65
2019-11,63
2019-12,65
2020-01,64
2020-02,65
2020-03,54
2020-04,60
2020-05,55
2020-06,81
2020-07,68
2020-08,67
2020-09,63
2020-10,63
2020-11,63
2020-12,62
2021-01,82
2021-02,68
2021-03,72
2021-04,70
2021-05,74
2021-06,72
2021-07,80
2021-08,71
2021-09,67
2021-10,66
2021-11,53
2021-12,60
2022-01,73
2022-02,77
2022-03,72
2022-04,65
2022-05,86
2022-06,81
2022-07,100
2022-08,82
2022-09,75
2022-10,72
2022-11,65
2022-12,59
2023-01,72
2023-02,68
2023-03,65
2023-04,83
2023-05,79
2023-06,86
2023-07,76
2023-08,82
2023-09,73
2023-10,67
2023-11,69
2023-12,73
2024-01,75
2024-02,71
2024-03,70
2024-04,66
2024-05,79
2024-06,65
2024-07,93
2024-08,54
2024-09,63
2024-10,63
2024-11,66
2024-12,79
