Category: All categories

Month,gout: (Illinois)
2014-01,68
2014-02,63
2014-03,74
2014-04,80
2014-05,76
2014-06,70
2014-07,78
2014-08,75
2014-09,79
2014-10,79
2014-11,65
2014-12,74
2015-01,79
2015-02,69
2015-03,73
2015-04,72
2015-05,76
2015-06,81
2015-07,87
2015-08,80
2015-09,80
2015-10,75
2015-11,74
2015-12,76
2016-01,72
2016-02,75
2016-03,79
2016-04,75
2016-05,77
2016-06,84
2016-07,78
2016-08,78
2016-09,69
2016-10,74
2016-11,69
2016-12,70
2017-01,74
2017-02,80
2017-03,84
2017-04,84
2017-05,86
2017-06,86
2017-07,91
2017-08,89
2017-09,81
2017-10,71
2017-11,75
2017-12,73
2018-01,82
2018-02,78
2018-03,86
2018-04,86
2018-05,91
2018-06,94
2018-07,99
2018-08,96
2018-09,89
2018-10,74
2018-11,77
2018-12,86
2019-01,90
2019-02,89
2019-03,90
2019-04,88
2019-05,88
2019-06,91
2019-07,86
2019-08,93
2019-09,84
2019-10,81
2019-11,80
2019-12,82
2020-01,85
2020-02,84
2020-03,70
2020-04,76
2020-05,79
2020-06,83
2020-07,87
2020-08,87
2020-09,77
2020-10,73
2020-11,72
2020-12,74
2021-01,79
2021-02,81
2021-03,82
2021-04,90
2021-05,88
2021-06,92
2021-07,87
2021-08,87
2021-09,82
2021-10,77
2021-11,79
2021-12,74
2022-01,84
2022-02,87
2022-03,88
2022-04,88
2022-05,88
2022-06,96
2022-07,100
2022-08,98
2022-09,88
2022-10,80
2022-11,81
2022-12,78
2023-01,87
2023-02,88
2023-03,94
2023-04,91
2023-05,92
2023-06,97
2023-07,95
2023-08,85
2023-09,79
2023-10,80
2023-11,77
2023-12,82
2024-01,83
2024-02,92
2024-03,78
2024-04,79
2024-05,92
2024-06,94
2024-07,81
2024-08,88
2024-09,90
2024-10,84
2024-11,79
2024-12,91
