Category: All categories

Month,gout: (Indiana)
2014-01,79
2014-02,63
2014-03,65
2014-04,86
2014-05,87
2014-06,97
2014-07,96
2014-08,85
2014-09,74
2014-10,86
2014-11,76
2014-12,91
2015-01,84
2015-02,70
2015-03,81
2015-04,78
2015-05,86
2015-06,87
2015-07,87
2015-08,78
2015-09,73
2015-10,71
2015-11,69
2015-12,74
2016-01,71
2016-02,77
2016-03,73
2016-04,76
2016-05,78
2016-06,83
2016-07,90
2016-08,77
2016-09,84
2016-10,75
2016-11,63
2016-12,70
2017-01,76
2017-02,75
2017-03,79
2017-04,87
2017-05,85
2017-06,88
2017-07,93
2017-08,80
2017-09,79
2017-10,74
2017-11,78
2017-12,77
2018-01,80
2018-02,74
2018-03,81
2018-04,86
2018-05,96
2018-06,98
2018-07,98
2018-08,91
2018-09,86
2018-10,76
2018-11,84
2018-12,87
2019-01,86
2019-02,82
2019-03,86
2019-04,86
2019-05,87
2019-06,89
2019-07,96
2019-08,85
2019-09,84
2019-10,80
2019-11,77
2019-12,82
2020-01,83
2020-02,77
2020-03,72
2020-04,74
2020-05,81
2020-06,82
2020-07,82
2020-08,74
2020-09,78
2020-10,77
2020-11,69
2020-12,75
2021-01,79
2021-02,81
2021-03,82
2021-04,87
2021-05,81
2021-06,93
2021-07,88
2021-08,80
2021-09,80
2021-10,82
2021-11,74
2021-12,77
2022-01,90
2022-02,81
2022-03,91
2022-04,80
2022-05,93
2022-06,94
2022-07,100
2022-08,83
2022-09,88
2022-10,81
2022-11,80
2022-12,81
2023-01,86
2023-02,86
2023-03,82
2023-04,93
2023-05,92
2023-06,99
2023-07,91
2023-08,85
2023-09,80
2023-10,84
2023-11,82
2023-12,83
2024-01,86
2024-02,82
2024-03,79
2024-04,83
2024-05,94
2024-06,90
2024-07,92
2024-08,81
2024-09,77
2024-10,76
2024-11,82
2024-12,84
