Category: All categories

Month,gout: (Kansas)
2014-01,70
2014-02,66
2014-03,71
2014-04,77
2014-05,81
2014-06,98
2014-07,81
2014-08,70
2014-09,75
2014-10,83
2014-11,80
2014-12,91
2015-01,69
2015-02,55
2015-03,81
2015-04,71
2015-05,73
2015-06,85
2015-07,72
2015-08,79
2015-09,74
2015-10,58
2015-11,49
2015-12,27
2016-01,65
2016-02,80
2016-03,52
2016-04,82
2016-05,73
2016-06,81
2016-07,79
2016-08,61
2016-09,63
2016-10,69
2016-11,62
2016-12,70
2017-01,75
2017-02,72
2017-03,76
2017-04,81
2017-05,87
2017-06,71
2017-07,82
2017-08,69
2017-09,55
2017-10,51
2017-11,84
2017-12,84
2018-01,83
2018-02,81
2018-03,85
2018-04,82
2018-05,85
2018-06,82
2018-07,97
2018-08,85
2018-09,78
2018-10,83
2018-11,79
2018-12,94
2019-01,76
2019-02,82
2019-03,85
2019-04,91
2019-05,87
2019-06,100
2019-07,90
2019-08,90
2019-09,82
2019-10,83
2019-11,76
2019-12,79
2020-01,89
2020-02,89
2020-03,73
2020-04,74
2020-05,87
2020-06,81
2020-07,86
2020-08,76
2020-09,66
2020-10,72
2020-11,77
2020-12,69
2021-01,82
2021-02,82
2021-03,91
2021-04,79
2021-05,92
2021-06,83
2021-07,90
2021-08,75
2021-09,72
2021-10,81
2021-11,68
2021-12,67
2022-01,84
2022-02,83
2022-03,81
2022-04,77
2022-05,86
2022-06,90
2022-07,98
2022-08,96
2022-09,86
2022-10,89
2022-11,69
2022-12,86
2023-01,84
2023-02,94
2023-03,87
2023-04,92
2023-05,94
2023-06,96
2023-07,81
2023-08,88
2023-09,74
2023-10,81
2023-11,77
2023-12,93
2024-01,85
2024-02,77
2024-03,76
2024-04,89
2024-05,77
2024-06,95
2024-07,73
2024-08,81
2024-09,82
2024-10,78
2024-11,87
2024-12,84
