Category: All categories

Month,gout: (Kentucky)
2014-01,70
2014-02,62
2014-03,68
2014-04,100
2014-05,93
2014-06,74
2014-07,83
2014-08,81
2014-09,82
2014-10,79
2014-11,86
2014-12,86
2015-01,84
2015-02,78
2015-03,80
2015-04,86
2015-05,96
2015-06,92
2015-07,81
2015-08,79
2015-09,82
2015-10,77
2015-11,80
2015-12,76
2016-01,71
2016-02,71
2016-03,75
2016-04,77
2016-05,78
2016-06,89
2016-07,77
2016-08,75
2016-09,78
2016-10,86
2016-11,72
2016-12,66
2017-01,84
2017-02,82
2017-03,78
2017-04,87
2017-05,91
2017-06,82
2017-07,91
2017-08,85
2017-09,76
2017-10,72
2017-11,76
2017-12,82
2018-01,79
2018-02,80
2018-03,76
2018-04,80
2018-05,93
2018-06,90
2018-07,94
2018-08,78
2018-09,92
2018-10,80
2018-11,69
2018-12,84
2019-01,88
2019-02,79
2019-03,86
2019-04,87
2019-05,90
2019-06,88
2019-07,84
2019-08,86
2019-09,81
2019-10,79
2019-11,68
2019-12,75
2020-01,77
2020-02,86
2020-03,68
2020-04,73
2020-05,77
2020-06,83
2020-07,81
2020-08,74
2020-09,73
2020-10,67
2020-11,71
2020-12,69
2021-01,77
2021-02,76
2021-03,86
2021-04,85
2021-05,77
2021-06,91
2021-07,92
2021-08,75
2021-09,85
2021-10,73
2021-11,74
2021-12,72
2022-01,79
2022-02,82
2022-03,86
2022-04,87
2022-05,96
2022-06,89
2022-07,89
2022-08,93
2022-09,83
2022-10,84
2022-11,77
2022-12,77
2023-01,83
2023-02,85
2023-03,85
2023-04,87
2023-05,93
2023-06,93
2023-07,90
2023-08,81
2023-09,79
2023-10,74
2023-11,80
2023-12,86
2024-01,73
2024-02,79
2024-03,78
2024-04,81
2024-05,77
2024-06,87
2024-07,83
2024-08,78
2024-09,83
2024-10,79
2024-11,81
2024-12,92
