Category: All categories

Month,gout: (Louisiana)
2014-01,72
2014-02,59
2014-03,60
2014-04,84
2014-05,77
2014-06,86
2014-07,83
2014-08,77
2014-09,66
2014-10,91
2014-11,63
2014-12,85
2015-01,75
2015-02,67
2015-03,90
2015-04,82
2015-05,81
2015-06,83
2015-07,95
2015-08,82
2015-09,73
2015-10,73
2015-11,67
2015-12,79
2016-01,72
2016-02,73
2016-03,69
2016-04,71
2016-05,74
2016-06,74
2016-07,72
2016-08,67
2016-09,77
2016-10,75
2016-11,75
2016-12,73
2017-01,74
2017-02,79
2017-03,80
2017-04,81
2017-05,83
2017-06,77
2017-07,89
2017-08,71
2017-09,82
2017-10,73
2017-11,77
2017-12,73
2018-01,77
2018-02,77
2018-03,88
2018-04,87
2018-05,100
2018-06,88
2018-07,95
2018-08,88
2018-09,89
2018-10,78
2018-11,76
2018-12,81
2019-01,88
2019-02,85
2019-03,90
2019-04,96
2019-05,89
2019-06,80
2019-07,89
2019-08,86
2019-09,88
2019-10,77
2019-11,75
2019-12,82
2020-01,79
2020-02,74
2020-03,74
2020-04,74
2020-05,74
2020-06,81
2020-07,87
2020-08,73
2020-09,70
2020-10,69
2020-11,70
2020-12,83
2021-01,69
2021-02,79
2021-03,74
2021-04,79
2021-05,87
2021-06,80
2021-07,79
2021-08,76
2021-09,71
2021-10,79
2021-11,77
2021-12,73
2022-01,73
2022-02,81
2022-03,82
2022-04,83
2022-05,88
2022-06,91
2022-07,98
2022-08,84
2022-09,90
2022-10,82
2022-11,83
2022-12,84
2023-01,78
2023-02,84
2023-03,86
2023-04,86
2023-05,89
2023-06,94
2023-07,82
2023-08,78
2023-09,77
2023-10,78
2023-11,83
2023-12,80
2024-01,82
2024-02,85
2024-03,93
2024-04,98
2024-05,93
2024-06,86
2024-07,80
2024-08,82
2024-09,77
2024-10,86
2024-11,77
2024-12,84
