Category: All categories

Month,gout: (Massachusetts)
2014-01,65
2014-02,55
2014-03,67
2014-04,69
2014-05,76
2014-06,84
2014-07,86
2014-08,76
2014-09,76
2014-10,86
2014-11,71
2014-12,77
2015-01,73
2015-02,57
2015-03,73
2015-04,76
2015-05,83
2015-06,87
2015-07,86
2015-08,77
2015-09,78
2015-10,69
2015-11,76
2015-12,71
2016-01,72
2016-02,67
2016-03,71
2016-04,74
2016-05,79
2016-06,89
2016-07,92
2016-08,86
2016-09,74
2016-10,59
2016-11,66
2016-12,66
2017-01,68
2017-02,68
2017-03,71
2017-04,72
2017-05,74
2017-06,79
2017-07,84
2017-08,85
2017-09,75
2017-10,67
2017-11,71
2017-12,69
2018-01,72
2018-02,73
2018-03,68
2018-04,76
2018-05,84
2018-06,88
2018-07,99
2018-08,95
2018-09,81
2018-10,67
2018-11,67
2018-12,82
2019-01,83
2019-02,81
2019-03,82
2019-04,86
2019-05,85
2019-06,90
2019-07,93
2019-08,87
2019-09,90
2019-10,78
2019-11,70
2019-12,73
2020-01,92
2020-02,79
2020-03,70
2020-04,70
2020-05,83
2020-06,86
2020-07,93
2020-08,86
2020-09,70
2020-10,73
2020-11,74
2020-12,79
2021-01,73
2021-02,79
2021-03,76
2021-04,83
2021-05,80
2021-06,89
2021-07,91
2021-08,83
2021-09,82
2021-10,75
2021-11,78
2021-12,76
2022-01,70
2022-02,76
2022-03,80
2022-04,78
2022-05,84
2022-06,96
2022-07,99
2022-08,100
2022-09,76
2022-10,76
2022-11,71
2022-12,75
2023-01,82
2023-02,84
2023-03,72
2023-04,94
2023-05,88
2023-06,100
2023-07,97
2023-08,93
2023-09,75
2023-10,76
2023-11,72
2023-12,76
2024-01,81
2024-02,81
2024-03,82
2024-04,81
2024-05,94
2024-06,98
2024-07,88
2024-08,83
2024-09,78
2024-10,70
2024-11,75
2024-12,88
