Category: All categories

Month,gout: (Maryland)
2014-01,56
2014-02,65
2014-03,63
2014-04,72
2014-05,65
2014-06,78
2014-07,78
2014-08,79
2014-09,67
2014-10,86
2014-11,71
2014-12,76
2015-01,62
2015-02,65
2015-03,72
2015-04,78
2015-05,73
2015-06,82
2015-07,80
2015-08,87
2015-09,79
2015-10,71
2015-11,68
2015-12,78
2016-01,72
2016-02,69
2016-03,76
2016-04,70
2016-05,67
2016-06,77
2016-07,82
2016-08,70
2016-09,73
2016-10,71
2016-11,66
2016-12,71
2017-01,74
2017-02,74
2017-03,72
2017-04,85
2017-05,84
2017-06,87
2017-07,85
2017-08,83
2017-09,76
2017-10,77
2017-11,75
2017-12,75
2018-01,71
2018-02,78
2018-03,76
2018-04,83
2018-05,79
2018-06,86
2018-07,92
2018-08,85
2018-09,86
2018-10,79
2018-11,76
2018-12,81
2019-01,84
2019-02,83
2019-03,90
2019-04,82
2019-05,85
2019-06,89
2019-07,86
2019-08,79
2019-09,84
2019-10,83
2019-11,74
2019-12,77
2020-01,79
2020-02,89
2020-03,65
2020-04,75
2020-05,83
2020-06,79
2020-07,81
2020-08,78
2020-09,71
2020-10,77
2020-11,71
2020-12,73
2021-01,73
2021-02,77
2021-03,77
2021-04,78
2021-05,83
2021-06,81
2021-07,87
2021-08,80
2021-09,73
2021-10,84
2021-11,79
2021-12,79
2022-01,84
2022-02,79
2022-03,91
2022-04,86
2022-05,93
2022-06,99
2022-07,100
2022-08,84
2022-09,83
2022-10,76
2022-11,74
2022-12,84
2023-01,85
2023-02,88
2023-03,90
2023-04,89
2023-05,98
2023-06,100
2023-07,85
2023-08,81
2023-09,77
2023-10,87
2023-11,72
2023-12,78
2024-01,77
2024-02,84
2024-03,89
2024-04,84
2024-05,83
2024-06,87
2024-07,88
2024-08,83
2024-09,82
2024-10,74
2024-11,84
2024-12,89
