Category: All categories

Month,gout: (Maine)
2014-01,75
2014-02,67
2014-03,55
2014-04,80
2014-05,59
2014-06,65
2014-07,84
2014-08,64
2014-09,70
2014-10,70
2014-11,53
2014-12,64
2015-01,49
2015-02,48
2015-03,65
2015-04,69
2015-05,75
2015-06,87
2015-07,69
2015-08,83
2015-09,67
2015-10,67
2015-11,54
2015-12,52
2016-01,57
2016-02,64
2016-03,53
2016-04,73
2016-05,62
2016-06,62
2016-07,69
2016-08,76
2016-09,72
2016-10,67
2016-11,63
2016-12,69
2017-01,53
2017-02,50
2017-03,69
2017-04,67
2017-05,80
2017-06,88
2017-07,84
2017-08,82
2017-09,65
2017-10,65
2017-11,59
2017-12,64
2018-01,73
2018-02,68
2018-03,63
2018-04,82
2018-05,91
2018-06,85
2018-07,100
2018-08,85
2018-09,86
2018-10,61
2018-11,63
2018-12,72
2019-01,59
2019-02,60
2019-03,72
2019-04,70
2019-05,70
2019-06,82
2019-07,79
2019-08,82
2019-09,78
2019-10,71
2019-11,74
2019-12,74
2020-01,59
2020-02,64
2020-03,47
2020-04,68
2020-05,65
2020-06,74
2020-07,74
2020-08,63
2020-09,65
2020-10,57
2020-11,68
2020-12,78
2021-01,77
2021-02,84
2021-03,83
2021-04,76
2021-05,75
2021-06,71
2021-07,88
2021-08,76
2021-09,75
2021-10,63
2021-11,62
2021-12,75
2022-01,83
2022-02,72
2022-03,62
2022-04,70
2022-05,90
2022-06,82
2022-07,73
2022-08,89
2022-09,77
2022-10,64
2022-11,68
2022-12,70
2023-01,76
2023-02,66
2023-03,91
2023-04,87
2023-05,82
2023-06,86
2023-07,85
2023-08,74
2023-09,72
2023-10,71
2023-11,59
2023-12,74
2024-01,62
2024-02,65
2024-03,75
2024-04,64
2024-05,78
2024-06,85
2024-07,86
2024-08,77
2024-09,75
2024-10,70
2024-11,75
2024-12,69
