Category: All categories

Month,gout: (Michigan)
2014-01,63
2014-02,66
2014-03,60
2014-04,70
2014-05,73
2014-06,84
2014-07,86
2014-08,78
2014-09,71
2014-10,81
2014-11,62
2014-12,75
2015-01,72
2015-02,70
2015-03,69
2015-04,72
2015-05,75
2015-06,80
2015-07,80
2015-08,81
2015-09,70
2015-10,63
2015-11,67
2015-12,70
2016-01,67
2016-02,66
2016-03,66
2016-04,70
2016-05,71
2016-06,76
2016-07,76
2016-08,74
2016-09,69
2016-10,69
2016-11,62
2016-12,65
2017-01,76
2017-02,68
2017-03,75
2017-04,82
2017-05,84
2017-06,87
2017-07,90
2017-08,81
2017-09,79
2017-10,74
2017-11,69
2017-12,78
2018-01,80
2018-02,80
2018-03,81
2018-04,83
2018-05,85
2018-06,91
2018-07,95
2018-08,91
2018-09,85
2018-10,75
2018-11,71
2018-12,74
2019-01,81
2019-02,74
2019-03,81
2019-04,82
2019-05,83
2019-06,88
2019-07,90
2019-08,88
2019-09,80
2019-10,82
2019-11,77
2019-12,86
2020-01,77
2020-02,80
2020-03,65
2020-04,71
2020-05,73
2020-06,81
2020-07,82
2020-08,82
2020-09,66
2020-10,68
2020-11,71
2020-12,74
2021-01,79
2021-02,79
2021-03,78
2021-04,79
2021-05,82
2021-06,86
2021-07,86
2021-08,85
2021-09,70
2021-10,70
2021-11,69
2021-12,71
2022-01,72
2022-02,82
2022-03,90
2022-04,86
2022-05,97
2022-06,92
2022-07,99
2022-08,99
2022-09,82
2022-10,77
2022-11,73
2022-12,85
2023-01,85
2023-02,83
2023-03,85
2023-04,87
2023-05,86
2023-06,100
2023-07,89
2023-08,81
2023-09,77
2023-10,75
2023-11,72
2023-12,81
2024-01,76
2024-02,79
2024-03,78
2024-04,82
2024-05,91
2024-06,91
2024-07,82
2024-08,89
2024-09,76
2024-10,80
2024-11,78
2024-12,86
