Category: All categories

Month,gout: (Missouri)
2014-01,70
2014-02,69
2014-03,70
2014-04,84
2014-05,85
2014-06,80
2014-07,90
2014-08,94
2014-09,83
2014-10,86
2014-11,71
2014-12,66
2015-01,94
2015-02,74
2015-03,91
2015-04,77
2015-05,78
2015-06,92
2015-07,89
2015-08,87
2015-09,77
2015-10,80
2015-11,76
2015-12,80
2016-01,75
2016-02,70
2016-03,83
2016-04,84
2016-05,79
2016-06,84
2016-07,79
2016-08,77
2016-09,74
2016-10,74
2016-11,74
2016-12,73
2017-01,80
2017-02,79
2017-03,85
2017-04,77
2017-05,84
2017-06,93
2017-07,95
2017-08,84
2017-09,80
2017-10,79
2017-11,80
2017-12,80
2018-01,84
2018-02,87
2018-03,85
2018-04,87
2018-05,89
2018-06,100
2018-07,98
2018-08,91
2018-09,84
2018-10,85
2018-11,73
2018-12,89
2019-01,82
2019-02,82
2019-03,93
2019-04,88
2019-05,89
2019-06,95
2019-07,90
2019-08,83
2019-09,82
2019-10,88
2019-11,85
2019-12,88
2020-01,92
2020-02,85
2020-03,73
2020-04,75
2020-05,80
2020-06,87
2020-07,87
2020-08,75
2020-09,78
2020-10,71
2020-11,74
2020-12,78
2021-01,81
2021-02,85
2021-03,88
2021-04,92
2021-05,84
2021-06,90
2021-07,85
2021-08,89
2021-09,79
2021-10,75
2021-11,81
2021-12,77
2022-01,80
2022-02,85
2022-03,94
2022-04,81
2022-05,94
2022-06,96
2022-07,91
2022-08,94
2022-09,88
2022-10,85
2022-11,86
2022-12,83
2023-01,87
2023-02,96
2023-03,86
2023-04,81
2023-05,97
2023-06,99
2023-07,95
2023-08,83
2023-09,85
2023-10,86
2023-11,79
2023-12,86
2024-01,81
2024-02,85
2024-03,81
2024-04,82
2024-05,87
2024-06,94
2024-07,92
2024-08,80
2024-09,84
2024-10,85
2024-11,85
2024-12,90
