Category: All categories

Month,gout: (Montana)
2014-01,67
2014-02,63
2014-03,41
2014-04,60
2014-05,95
2014-06,73
2014-07,86
2014-08,48
2014-09,54
2014-10,59
2014-11,59
2014-12,75
2015-01,78
2015-02,80
2015-03,68
2015-04,82
2015-05,74
2015-06,70
2015-07,71
2015-08,83
2015-09,64
2015-10,54
2015-11,75
2015-12,83
2016-01,67
2016-02,61
2016-03,50
2016-04,65
2016-05,63
2016-06,71
2016-07,76
2016-08,66
2016-09,59
2016-10,82
2016-11,47
2016-12,76
2017-01,69
2017-02,64
2017-03,63
2017-04,77
2017-05,90
2017-06,84
2017-07,73
2017-08,68
2017-09,59
2017-10,77
2017-11,79
2017-12,62
2018-01,82
2018-02,58
2018-03,74
2018-04,95
2018-05,97
2018-06,81
2018-07,86
2018-08,65
2018-09,74
2018-10,69
2018-11,73
2018-12,78
2019-01,93
2019-02,69
2019-03,84
2019-04,100
2019-05,69
2019-06,89
2019-07,98
2019-08,100
2019-09,67
2019-10,59
2019-11,69
2019-12,74
2020-01,65
2020-02,76
2020-03,71
2020-04,68
2020-05,62
2020-06,86
2020-07,72
2020-08,72
2020-09,60
2020-10,72
2020-11,71
2020-12,85
2021-01,71
2021-02,76
2021-03,79
2021-04,87
2021-05,72
2021-06,65
2021-07,73
2021-08,69
2021-09,62
2021-10,78
2021-11,82
2021-12,64
2022-01,72
2022-02,72
2022-03,82
2022-04,90
2022-05,76
2022-06,74
2022-07,81
2022-08,81
2022-09,59
2022-10,66
2022-11,59
2022-12,63
2023-01,71
2023-02,71
2023-03,71
2023-04,81
2023-05,99
2023-06,86
2023-07,79
2023-08,76
2023-09,78
2023-10,64
2023-11,69
2023-12,69
2024-01,86
2024-02,71
2024-03,75
2024-04,80
2024-05,57
2024-06,84
2024-07,72
2024-08,57
2024-09,69
2024-10,70
2024-11,86
2024-12,64
