Category: All categories

Month,gout: (North Carolina)
2014-01,62
2014-02,65
2014-03,67
2014-04,75
2014-05,75
2014-06,89
2014-07,84
2014-08,74
2014-09,79
2014-10,81
2014-11,67
2014-12,70
2015-01,72
2015-02,69
2015-03,71
2015-04,73
2015-05,87
2015-06,84
2015-07,87
2015-08,82
2015-09,84
2015-10,72
2015-11,70
2015-12,78
2016-01,76
2016-02,71
2016-03,69
2016-04,71
2016-05,82
2016-06,81
2016-07,85
2016-08,71
2016-09,78
2016-10,70
2016-11,69
2016-12,76
2017-01,78
2017-02,80
2017-03,77
2017-04,84
2017-05,80
2017-06,88
2017-07,92
2017-08,83
2017-09,79
2017-10,79
2017-11,77
2017-12,78
2018-01,79
2018-02,86
2018-03,82
2018-04,90
2018-05,89
2018-06,89
2018-07,91
2018-08,88
2018-09,83
2018-10,76
2018-11,72
2018-12,79
2019-01,82
2019-02,89
2019-03,84
2019-04,88
2019-05,90
2019-06,93
2019-07,90
2019-08,90
2019-09,86
2019-10,80
2019-11,75
2019-12,80
2020-01,90
2020-02,83
2020-03,77
2020-04,75
2020-05,77
2020-06,87
2020-07,84
2020-08,79
2020-09,67
2020-10,78
2020-11,74
2020-12,74
2021-01,73
2021-02,78
2021-03,76
2021-04,82
2021-05,81
2021-06,90
2021-07,84
2021-08,80
2021-09,79
2021-10,79
2021-11,74
2021-12,78
2022-01,83
2022-02,82
2022-03,88
2022-04,87
2022-05,86
2022-06,98
2022-07,97
2022-08,99
2022-09,83
2022-10,88
2022-11,81
2022-12,81
2023-01,87
2023-02,91
2023-03,87
2023-04,94
2023-05,95
2023-06,100
2023-07,98
2023-08,85
2023-09,79
2023-10,83
2023-11,83
2023-12,80
2024-01,84
2024-02,82
2024-03,89
2024-04,82
2024-05,85
2024-06,84
2024-07,86
2024-08,83
2024-09,76
2024-10,78
2024-11,81
2024-12,88
