Category: All categories

Month,gout: (North Dakota)
2014-01,30
2014-02,52
2014-03,48
2014-04,70
2014-05,48
2014-06,63
2014-07,58
2014-08,59
2014-09,59
2014-10,79
2014-11,63
2014-12,82
2015-01,55
2015-02,38
2015-03,83
2015-04,49
2015-05,62
2015-06,77
2015-07,69
2015-08,52
2015-09,50
2015-10,68
2015-11,45
2015-12,42
2016-01,48
2016-02,48
2016-03,52
2016-04,61
2016-05,52
2016-06,52
2016-07,50
2016-08,68
2016-09,60
2016-10,50
2016-11,44
2016-12,64
2017-01,59
2017-02,27
2017-03,67
2017-04,80
2017-05,64
2017-06,78
2017-07,94
2017-08,63
2017-09,81
2017-10,58
2017-11,60
2017-12,78
2018-01,49
2018-02,56
2018-03,77
2018-04,85
2018-05,63
2018-06,88
2018-07,84
2018-08,80
2018-09,47
2018-10,81
2018-11,62
2018-12,58
2019-01,64
2019-02,58
2019-03,72
2019-04,61
2019-05,70
2019-06,78
2019-07,79
2019-08,78
2019-09,65
2019-10,57
2019-11,58
2019-12,67
2020-01,82
2020-02,69
2020-03,62
2020-04,58
2020-05,65
2020-06,59
2020-07,67
2020-08,79
2020-09,65
2020-10,69
2020-11,67
2020-12,56
2021-01,80
2021-02,75
2021-03,89
2021-04,58
2021-05,59
2021-06,65
2021-07,91
2021-08,49
2021-09,87
2021-10,74
2021-11,65
2021-12,68
2022-01,64
2022-02,76
2022-03,68
2022-04,69
2022-05,84
2022-06,85
2022-07,70
2022-08,62
2022-09,100
2022-10,69
2022-11,70
2022-12,59
2023-01,65
2023-02,74
2023-03,63
2023-04,76
2023-05,81
2023-06,85
2023-07,40
2023-08,51
2023-09,59
2023-10,56
2023-11,81
2023-12,71
2024-01,66
2024-02,61
2024-03,67
2024-04,62
2024-05,65
2024-06,61
2024-07,59
2024-08,92
2024-09,47
2024-10,78
2024-11,77
2024-12,71
