Category: All categories

Month,gout: (Nebraska)
2014-01,56
2014-02,69
2014-03,59
2014-04,75
2014-05,75
2014-06,71
2014-07,71
2014-08,72
2014-09,69
2014-10,78
2014-11,78
2014-12,72
2015-01,68
2015-02,62
2015-03,60
2015-04,76
2015-05,71
2015-06,99
2015-07,76
2015-08,72
2015-09,76
2015-10,60
2015-11,66
2015-12,66
2016-01,64
2016-02,76
2016-03,62
2016-04,80
2016-05,67
2016-06,76
2016-07,81
2016-08,73
2016-09,66
2016-10,60
2016-11,71
2016-12,67
2017-01,74
2017-02,75
2017-03,79
2017-04,84
2017-05,78
2017-06,89
2017-07,80
2017-08,98
2017-09,82
2017-10,77
2017-11,78
2017-12,77
2018-01,82
2018-02,84
2018-03,78
2018-04,66
2018-05,80
2018-06,85
2018-07,92
2018-08,69
2018-09,72
2018-10,85
2018-11,71
2018-12,78
2019-01,80
2019-02,72
2019-03,78
2019-04,83
2019-05,94
2019-06,96
2019-07,92
2019-08,72
2019-09,80
2019-10,81
2019-11,87
2019-12,81
2020-01,85
2020-02,89
2020-03,71
2020-04,74
2020-05,79
2020-06,90
2020-07,68
2020-08,78
2020-09,84
2020-10,87
2020-11,72
2020-12,81
2021-01,77
2021-02,89
2021-03,82
2021-04,91
2021-05,80
2021-06,87
2021-07,92
2021-08,83
2021-09,72
2021-10,63
2021-11,72
2021-12,79
2022-01,70
2022-02,84
2022-03,90
2022-04,90
2022-05,89
2022-06,99
2022-07,82
2022-08,89
2022-09,72
2022-10,83
2022-11,76
2022-12,67
2023-01,85
2023-02,71
2023-03,78
2023-04,69
2023-05,100
2023-06,92
2023-07,92
2023-08,78
2023-09,73
2023-10,74
2023-11,82
2023-12,82
2024-01,74
2024-02,73
2024-03,83
2024-04,84
2024-05,82
2024-06,77
2024-07,78
2024-08,96
2024-09,76
2024-10,79
2024-11,96
2024-12,93
