Category: All categories

Month,gout: (New Hampshire)
2014-01,63
2014-02,53
2014-03,64
2014-04,68
2014-05,67
2014-06,60
2014-07,96
2014-08,75
2014-09,88
2014-10,61
2014-11,73
2014-12,67
2015-01,55
2015-02,61
2015-03,75
2015-04,67
2015-05,67
2015-06,72
2015-07,80
2015-08,84
2015-09,68
2015-10,49
2015-11,69
2015-12,68
2016-01,64
2016-02,67
2016-03,74
2016-04,73
2016-05,61
2016-06,69
2016-07,86
2016-08,76
2016-09,57
2016-10,54
2016-11,64
2016-12,59
2017-01,64
2017-02,80
2017-03,64
2017-04,79
2017-05,63
2017-06,65
2017-07,73
2017-08,77
2017-09,67
2017-10,75
2017-11,62
2017-12,71
2018-01,72
2018-02,75
2018-03,68
2018-04,81
2018-05,79
2018-06,94
2018-07,85
2018-08,100
2018-09,73
2018-10,63
2018-11,82
2018-12,87
2019-01,69
2019-02,82
2019-03,64
2019-04,82
2019-05,86
2019-06,90
2019-07,86
2019-08,92
2019-09,78
2019-10,70
2019-11,73
2019-12,73
2020-01,76
2020-02,81
2020-03,61
2020-04,72
2020-05,75
2020-06,79
2020-07,84
2020-08,71
2020-09,74
2020-10,69
2020-11,67
2020-12,72
2021-01,73
2021-02,75
2021-03,72
2021-04,81
2021-05,73
2021-06,84
2021-07,84
2021-08,80
2021-09,63
2021-10,63
2021-11,59
2021-12,76
2022-01,66
2022-02,70
2022-03,87
2022-04,77
2022-05,77
2022-06,92
2022-07,90
2022-08,81
2022-09,70
2022-10,81
2022-11,71
2022-12,68
2023-01,79
2023-02,75
2023-03,74
2023-04,93
2023-05,78
2023-06,95
2023-07,89
2023-08,86
2023-09,76
2023-10,66
2023-11,77
2023-12,71
2024-01,84
2024-02,80
2024-03,75
2024-04,68
2024-05,77
2024-06,76
2024-07,83
2024-08,83
2024-09,69
2024-10,83
2024-11,65
2024-12,86
