Category: All categories

Month,gout: (New Jersey)
2014-01,58
2014-02,57
2014-03,60
2014-04,68
2014-05,63
2014-06,75
2014-07,79
2014-08,74
2014-09,73
2014-10,68
2014-11,64
2014-12,66
2015-01,63
2015-02,59
2015-03,64
2015-04,72
2015-05,75
2015-06,77
2015-07,81
2015-08,85
2015-09,65
2015-10,66
2015-11,68
2015-12,70
2016-01,59
2016-02,63
2016-03,67
2016-04,64
2016-05,68
2016-06,72
2016-07,76
2016-08,78
2016-09,73
2016-10,65
2016-11,63
2016-12,60
2017-01,70
2017-02,69
2017-03,62
2017-04,74
2017-05,76
2017-06,74
2017-07,83
2017-08,86
2017-09,67
2017-10,64
2017-11,65
2017-12,73
2018-01,68
2018-02,76
2018-03,70
2018-04,75
2018-05,80
2018-06,87
2018-07,92
2018-08,89
2018-09,84
2018-10,71
2018-11,63
2018-12,78
2019-01,76
2019-02,69
2019-03,78
2019-04,81
2019-05,78
2019-06,87
2019-07,85
2019-08,87
2019-09,77
2019-10,74
2019-11,71
2019-12,75
2020-01,80
2020-02,78
2020-03,63
2020-04,71
2020-05,72
2020-06,72
2020-07,81
2020-08,79
2020-09,69
2020-10,66
2020-11,62
2020-12,72
2021-01,76
2021-02,79
2021-03,71
2021-04,69
2021-05,78
2021-06,83
2021-07,82
2021-08,81
2021-09,74
2021-10,70
2021-11,62
2021-12,67
2022-01,73
2022-02,84
2022-03,82
2022-04,74
2022-05,85
2022-06,87
2022-07,100
2022-08,93
2022-09,80
2022-10,81
2022-11,73
2022-12,73
2023-01,77
2023-02,85
2023-03,73
2023-04,83
2023-05,82
2023-06,92
2023-07,85
2023-08,84
2023-09,75
2023-10,73
2023-11,74
2023-12,73
2024-01,79
2024-02,81
2024-03,78
2024-04,80
2024-05,87
2024-06,86
2024-07,86
2024-08,85
2024-09,66
2024-10,77
2024-11,84
2024-12,84
