Category: All categories

Month,gout: (New Mexico)
2014-01,75
2014-02,71
2014-03,58
2014-04,66
2014-05,54
2014-06,75
2014-07,88
2014-08,69
2014-09,67
2014-10,79
2014-11,58
2014-12,66
2015-01,73
2015-02,69
2015-03,72
2015-04,68
2015-05,74
2015-06,86
2015-07,87
2015-08,68
2015-09,76
2015-10,76
2015-11,70
2015-12,89
2016-01,66
2016-02,67
2016-03,71
2016-04,80
2016-05,71
2016-06,70
2016-07,88
2016-08,68
2016-09,57
2016-10,73
2016-11,63
2016-12,75
2017-01,67
2017-02,71
2017-03,76
2017-04,65
2017-05,76
2017-06,88
2017-07,81
2017-08,77
2017-09,89
2017-10,70
2017-11,68
2017-12,77
2018-01,85
2018-02,85
2018-03,90
2018-04,96
2018-05,83
2018-06,95
2018-07,78
2018-08,91
2018-09,82
2018-10,68
2018-11,79
2018-12,67
2019-01,76
2019-02,84
2019-03,89
2019-04,82
2019-05,90
2019-06,99
2019-07,96
2019-08,85
2019-09,81
2019-10,73
2019-11,67
2019-12,67
2020-01,70
2020-02,91
2020-03,62
2020-04,68
2020-05,83
2020-06,87
2020-07,73
2020-08,81
2020-09,68
2020-10,64
2020-11,69
2020-12,67
2021-01,84
2021-02,79
2021-03,75
2021-04,76
2021-05,78
2021-06,97
2021-07,67
2021-08,69
2021-09,76
2021-10,69
2021-11,76
2021-12,73
2022-01,87
2022-02,78
2022-03,88
2022-04,75
2022-05,82
2022-06,93
2022-07,97
2022-08,100
2022-09,81
2022-10,90
2022-11,65
2022-12,81
2023-01,79
2023-02,80
2023-03,98
2023-04,79
2023-05,97
2023-06,90
2023-07,90
2023-08,79
2023-09,70
2023-10,72
2023-11,81
2023-12,73
2024-01,74
2024-02,92
2024-03,74
2024-04,80
2024-05,83
2024-06,97
2024-07,90
2024-08,95
2024-09,77
2024-10,78
2024-11,84
2024-12,78
