Category: All categories

Month,gout: (Nevada)
2014-01,74
2014-02,69
2014-03,63
2014-04,75
2014-05,83
2014-06,80
2014-07,81
2014-08,64
2014-09,72
2014-10,82
2014-11,64
2014-12,66
2015-01,56
2015-02,78
2015-03,65
2015-04,68
2015-05,86
2015-06,83
2015-07,74
2015-08,77
2015-09,68
2015-10,76
2015-11,64
2015-12,66
2016-01,62
2016-02,66
2016-03,71
2016-04,66
2016-05,70
2016-06,70
2016-07,66
2016-08,77
2016-09,76
2016-10,74
2016-11,68
2016-12,70
2017-01,67
2017-02,79
2017-03,77
2017-04,77
2017-05,78
2017-06,79
2017-07,78
2017-08,77
2017-09,78
2017-10,74
2017-11,77
2017-12,69
2018-01,81
2018-02,83
2018-03,82
2018-04,81
2018-05,86
2018-06,88
2018-07,83
2018-08,82
2018-09,85
2018-10,73
2018-11,74
2018-12,81
2019-01,76
2019-02,82
2019-03,89
2019-04,81
2019-05,84
2019-06,78
2019-07,82
2019-08,78
2019-09,86
2019-10,79
2019-11,86
2019-12,84
2020-01,85
2020-02,81
2020-03,73
2020-04,76
2020-05,84
2020-06,77
2020-07,84
2020-08,82
2020-09,65
2020-10,75
2020-11,67
2020-12,75
2021-01,71
2021-02,71
2021-03,74
2021-04,83
2021-05,83
2021-06,76
2021-07,84
2021-08,81
2021-09,83
2021-10,83
2021-11,80
2021-12,69
2022-01,87
2022-02,83
2022-03,80
2022-04,83
2022-05,94
2022-06,91
2022-07,100
2022-08,97
2022-09,75
2022-10,81
2022-11,77
2022-12,81
2023-01,83
2023-02,93
2023-03,90
2023-04,93
2023-05,95
2023-06,97
2023-07,78
2023-08,94
2023-09,74
2023-10,76
2023-11,74
2023-12,89
2024-01,83
2024-02,84
2024-03,79
2024-04,95
2024-05,89
2024-06,91
2024-07,90
2024-08,90
2024-09,85
2024-10,80
2024-11,84
2024-12,86
