Category: All categories

Month,gout: (New York)
2014-01,66
2014-02,60
2014-03,66
2014-04,71
2014-05,77
2014-06,81
2014-07,82
2014-08,76
2014-09,77
2014-10,82
2014-11,65
2014-12,77
2015-01,79
2015-02,68
2015-03,74
2015-04,81
2015-05,86
2015-06,86
2015-07,82
2015-08,80
2015-09,73
2015-10,71
2015-11,79
2015-12,74
2016-01,71
2016-02,72
2016-03,72
2016-04,77
2016-05,76
2016-06,79
2016-07,85
2016-08,75
2016-09,81
2016-10,66
2016-11,69
2016-12,75
2017-01,78
2017-02,72
2017-03,79
2017-04,81
2017-05,82
2017-06,87
2017-07,92
2017-08,82
2017-09,76
2017-10,75
2017-11,76
2017-12,75
2018-01,81
2018-02,82
2018-03,81
2018-04,86
2018-05,87
2018-06,97
2018-07,100
2018-08,93
2018-09,94
2018-10,76
2018-11,79
2018-12,88
2019-01,88
2019-02,85
2019-03,88
2019-04,86
2019-05,89
2019-06,94
2019-07,89
2019-08,91
2019-09,84
2019-10,80
2019-11,80
2019-12,83
2020-01,82
2020-02,83
2020-03,69
2020-04,74
2020-05,79
2020-06,83
2020-07,84
2020-08,79
2020-09,75
2020-10,70
2020-11,71
2020-12,74
2021-01,73
2021-02,75
2021-03,71
2021-04,75
2021-05,78
2021-06,83
2021-07,81
2021-08,78
2021-09,68
2021-10,69
2021-11,64
2021-12,67
2022-01,72
2022-02,79
2022-03,80
2022-04,83
2022-05,83
2022-06,89
2022-07,90
2022-08,89
2022-09,83
2022-10,73
2022-11,75
2022-12,71
2023-01,78
2023-02,75
2023-03,82
2023-04,85
2023-05,86
2023-06,86
2023-07,85
2023-08,86
2023-09,70
2023-10,72
2023-11,68
2023-12,75
2024-01,74
2024-02,80
2024-03,82
2024-04,89
2024-05,91
2024-06,89
2024-07,91
2024-08,93
2024-09,77
2024-10,77
2024-11,79
2024-12,88
