Category: All categories

Month,gout: (Ohio)
2014-01,65
2014-02,65
2014-03,71
2014-04,75
2014-05,81
2014-06,80
2014-07,80
2014-08,78
2014-09,83
2014-10,79
2014-11,70
2014-12,77
2015-01,70
2015-02,70
2015-03,78
2015-04,77
2015-05,78
2015-06,82
2015-07,87
2015-08,81
2015-09,77
2015-10,72
2015-11,73
2015-12,73
2016-01,71
2016-02,73
2016-03,67
2016-04,76
2016-05,72
2016-06,79
2016-07,78
2016-08,75
2016-09,67
2016-10,77
2016-11,67
2016-12,69
2017-01,77
2017-02,73
2017-03,81
2017-04,84
2017-05,81
2017-06,89
2017-07,91
2017-08,78
2017-09,75
2017-10,79
2017-11,77
2017-12,79
2018-01,84
2018-02,82
2018-03,93
2018-04,85
2018-05,92
2018-06,97
2018-07,96
2018-08,84
2018-09,85
2018-10,77
2018-11,73
2018-12,79
2019-01,89
2019-02,83
2019-03,84
2019-04,86
2019-05,89
2019-06,90
2019-07,96
2019-08,87
2019-09,80
2019-10,84
2019-11,79
2019-12,84
2020-01,85
2020-02,84
2020-03,72
2020-04,75
2020-05,77
2020-06,87
2020-07,79
2020-08,82
2020-09,71
2020-10,76
2020-11,67
2020-12,79
2021-01,72
2021-02,77
2021-03,80
2021-04,75
2021-05,84
2021-06,86
2021-07,88
2021-08,81
2021-09,76
2021-10,91
2021-11,78
2021-12,75
2022-01,84
2022-02,78
2022-03,90
2022-04,89
2022-05,88
2022-06,100
2022-07,93
2022-08,95
2022-09,86
2022-10,78
2022-11,82
2022-12,84
2023-01,84
2023-02,89
2023-03,90
2023-04,94
2023-05,96
2023-06,94
2023-07,86
2023-08,81
2023-09,80
2023-10,78
2023-11,74
2023-12,79
2024-01,78
2024-02,80
2024-03,86
2024-04,79
2024-05,88
2024-06,87
2024-07,79
2024-08,83
2024-09,75
2024-10,77
2024-11,73
2024-12,91
