Category: All categories

Month,gout: (Oklahoma)
2014-01,66
2014-02,69
2014-03,72
2014-04,81
2014-05,79
2014-06,91
2014-07,81
2014-08,67
2014-09,88
2014-10,79
2014-11,70
2014-12,69
2015-01,75
2015-02,59
2015-03,79
2015-04,83
2015-05,72
2015-06,71
2015-07,78
2015-08,79
2015-09,78
2015-10,75
2015-11,64
2015-12,65
2016-01,74
2016-02,71
2016-03,67
2016-04,80
2016-05,85
2016-06,69
2016-07,80
2016-08,69
2016-09,72
2016-10,69
2016-11,75
2016-12,75
2017-01,73
2017-02,85
2017-03,72
2017-04,80
2017-05,79
2017-06,80
2017-07,89
2017-08,84
2017-09,72
2017-10,76
2017-11,75
2017-12,77
2018-01,76
2018-02,69
2018-03,80
2018-04,78
2018-05,89
2018-06,90
2018-07,93
2018-08,72
2018-09,79
2018-10,73
2018-11,67
2018-12,82
2019-01,86
2019-02,85
2019-03,89
2019-04,83
2019-05,73
2019-06,100
2019-07,81
2019-08,78
2019-09,80
2019-10,83
2019-11,81
2019-12,85
2020-01,87
2020-02,79
2020-03,73
2020-04,68
2020-05,80
2020-06,75
2020-07,73
2020-08,71
2020-09,71
2020-10,80
2020-11,77
2020-12,73
2021-01,75
2021-02,80
2021-03,75
2021-04,81
2021-05,74
2021-06,76
2021-07,74
2021-08,79
2021-09,74
2021-10,60
2021-11,66
2021-12,71
2022-01,75
2022-02,78
2022-03,81
2022-04,84
2022-05,90
2022-06,88
2022-07,86
2022-08,92
2022-09,89
2022-10,83
2022-11,84
2022-12,65
2023-01,74
2023-02,82
2023-03,81
2023-04,81
2023-05,84
2023-06,91
2023-07,75
2023-08,68
2023-09,75
2023-10,75
2023-11,67
2023-12,82
2024-01,80
2024-02,78
2024-03,95
2024-04,76
2024-05,74
2024-06,81
2024-07,81
2024-08,76
2024-09,73
2024-10,79
2024-11,80
2024-12,85
