Category: All categories

Month,gout: (Oregon)
2014-01,42
2014-02,45
2014-03,75
2014-04,46
2014-05,54
2014-06,49
2014-07,50
2014-08,47
2014-09,48
2014-10,42
2014-11,40
2014-12,39
2015-01,46
2015-02,40
2015-03,40
2015-04,38
2015-05,53
2015-06,81
2015-07,71
2015-08,82
2015-09,70
2015-10,64
2015-11,63
2015-12,72
2016-01,58
2016-02,65
2016-03,59
2016-04,72
2016-05,71
2016-06,70
2016-07,75
2016-08,70
2016-09,56
2016-10,64
2016-11,65
2016-12,61
2017-01,72
2017-02,58
2017-03,62
2017-04,73
2017-05,70
2017-06,75
2017-07,79
2017-08,71
2017-09,67
2017-10,66
2017-11,65
2017-12,76
2018-01,80
2018-02,68
2018-03,84
2018-04,81
2018-05,80
2018-06,81
2018-07,85
2018-08,84
2018-09,77
2018-10,82
2018-11,83
2018-12,78
2019-01,82
2019-02,78
2019-03,94
2019-04,82
2019-05,84
2019-06,83
2019-07,87
2019-08,78
2019-09,87
2019-10,77
2019-11,79
2019-12,77
2020-01,84
2020-02,77
2020-03,69
2020-04,74
2020-05,75
2020-06,78
2020-07,80
2020-08,78
2020-09,66
2020-10,70
2020-11,78
2020-12,77
2021-01,81
2021-02,80
2021-03,72
2021-04,82
2021-05,80
2021-06,86
2021-07,79
2021-08,75
2021-09,75
2021-10,75
2021-11,75
2021-12,75
2022-01,71
2022-02,80
2022-03,74
2022-04,71
2022-05,80
2022-06,97
2022-07,92
2022-08,100
2022-09,85
2022-10,73
2022-11,69
2022-12,71
2023-01,80
2023-02,85
2023-03,88
2023-04,83
2023-05,86
2023-06,83
2023-07,89
2023-08,76
2023-09,79
2023-10,70
2023-11,77
2023-12,74
2024-01,91
2024-02,80
2024-03,73
2024-04,76
2024-05,84
2024-06,78
2024-07,77
2024-08,82
2024-09,79
2024-10,62
2024-11,75
2024-12,87
