Category: All categories

Month,gout: (Pennsylvania)
2014-01,63
2014-02,64
2014-03,61
2014-04,72
2014-05,74
2014-06,81
2014-07,85
2014-08,72
2014-09,71
2014-10,73
2014-11,68
2014-12,69
2015-01,74
2015-02,74
2015-03,80
2015-04,78
2015-05,89
2015-06,82
2015-07,82
2015-08,75
2015-09,76
2015-10,67
2015-11,77
2015-12,70
2016-01,72
2016-02,72
2016-03,75
2016-04,74
2016-05,81
2016-06,82
2016-07,83
2016-08,79
2016-09,73
2016-10,71
2016-11,59
2016-12,75
2017-01,77
2017-02,78
2017-03,73
2017-04,87
2017-05,85
2017-06,85
2017-07,87
2017-08,83
2017-09,78
2017-10,73
2017-11,76
2017-12,74
2018-01,81
2018-02,85
2018-03,81
2018-04,90
2018-05,92
2018-06,90
2018-07,100
2018-08,91
2018-09,81
2018-10,78
2018-11,71
2018-12,75
2019-01,91
2019-02,81
2019-03,86
2019-04,86
2019-05,87
2019-06,93
2019-07,91
2019-08,89
2019-09,86
2019-10,80
2019-11,77
2019-12,82
2020-01,87
2020-02,85
2020-03,77
2020-04,78
2020-05,77
2020-06,83
2020-07,83
2020-08,81
2020-09,72
2020-10,78
2020-11,75
2020-12,76
2021-01,79
2021-02,76
2021-03,83
2021-04,83
2021-05,87
2021-06,92
2021-07,85
2021-08,85
2021-09,78
2021-10,73
2021-11,72
2021-12,75
2022-01,76
2022-02,82
2022-03,87
2022-04,87
2022-05,96
2022-06,97
2022-07,97
2022-08,91
2022-09,83
2022-10,85
2022-11,74
2022-12,84
2023-01,80
2023-02,85
2023-03,90
2023-04,91
2023-05,89
2023-06,97
2023-07,98
2023-08,91
2023-09,80
2023-10,80
2023-11,72
2023-12,83
2024-01,81
2024-02,85
2024-03,86
2024-04,90
2024-05,93
2024-06,95
2024-07,90
2024-08,88
2024-09,80
2024-10,80
2024-11,77
2024-12,89
