Category: All categories

Month,gout: (Rhode Island)
2014-01,46
2014-02,38
2014-03,42
2014-04,51
2014-05,49
2014-06,71
2014-07,46
2014-08,68
2014-09,36
2014-10,63
2014-11,46
2014-12,54
2015-01,59
2015-02,40
2015-03,53
2015-04,61
2015-05,55
2015-06,67
2015-07,64
2015-08,66
2015-09,63
2015-10,42
2015-11,55
2015-12,42
2016-01,67
2016-02,42
2016-03,58
2016-04,59
2016-05,62
2016-06,56
2016-07,68
2016-08,61
2016-09,55
2016-10,49
2016-11,46
2016-12,41
2017-01,55
2017-02,65
2017-03,56
2017-04,61
2017-05,66
2017-06,82
2017-07,61
2017-08,63
2017-09,53
2017-10,52
2017-11,43
2017-12,56
2018-01,59
2018-02,57
2018-03,61
2018-04,60
2018-05,72
2018-06,74
2018-07,80
2018-08,68
2018-09,50
2018-10,57
2018-11,56
2018-12,57
2019-01,71
2019-02,61
2019-03,72
2019-04,61
2019-05,75
2019-06,65
2019-07,74
2019-08,68
2019-09,52
2019-10,54
2019-11,53
2019-12,62
2020-01,72
2020-02,61
2020-03,52
2020-04,61
2020-05,61
2020-06,62
2020-07,63
2020-08,73
2020-09,59
2020-10,49
2020-11,56
2020-12,72
2021-01,57
2021-02,75
2021-03,49
2021-04,66
2021-05,73
2021-06,71
2021-07,72
2021-08,76
2021-09,64
2021-10,48
2021-11,65
2021-12,63
2022-01,72
2022-02,66
2022-03,59
2022-04,65
2022-05,74
2022-06,86
2022-07,67
2022-08,100
2022-09,67
2022-10,63
2022-11,61
2022-12,54
2023-01,65
2023-02,61
2023-03,61
2023-04,84
2023-05,68
2023-06,83
2023-07,80
2023-08,66
2023-09,57
2023-10,60
2023-11,59
2023-12,62
2024-01,72
2024-02,65
2024-03,79
2024-04,79
2024-05,73
2024-06,77
2024-07,67
2024-08,73
2024-09,60
2024-10,67
2024-11,61
2024-12,71
