Category: All categories

Month,gout: (South Carolina)
2014-01,71
2014-02,64
2014-03,69
2014-04,77
2014-05,80
2014-06,75
2014-07,76
2014-08,80
2014-09,75
2014-10,72
2014-11,59
2014-12,69
2015-01,68
2015-02,63
2015-03,80
2015-04,79
2015-05,73
2015-06,79
2015-07,77
2015-08,74
2015-09,78
2015-10,77
2015-11,82
2015-12,81
2016-01,61
2016-02,72
2016-03,83
2016-04,74
2016-05,74
2016-06,86
2016-07,78
2016-08,76
2016-09,72
2016-10,72
2016-11,72
2016-12,69
2017-01,72
2017-02,73
2017-03,74
2017-04,81
2017-05,76
2017-06,87
2017-07,72
2017-08,78
2017-09,73
2017-10,80
2017-11,75
2017-12,73
2018-01,79
2018-02,84
2018-03,79
2018-04,83
2018-05,92
2018-06,86
2018-07,100
2018-08,87
2018-09,82
2018-10,75
2018-11,67
2018-12,84
2019-01,84
2019-02,81
2019-03,78
2019-04,77
2019-05,85
2019-06,91
2019-07,81
2019-08,82
2019-09,75
2019-10,77
2019-11,74
2019-12,77
2020-01,85
2020-02,79
2020-03,77
2020-04,67
2020-05,78
2020-06,80
2020-07,81
2020-08,79
2020-09,71
2020-10,76
2020-11,73
2020-12,71
2021-01,73
2021-02,79
2021-03,77
2021-04,76
2021-05,76
2021-06,78
2021-07,80
2021-08,76
2021-09,73
2021-10,64
2021-11,76
2021-12,77
2022-01,84
2022-02,87
2022-03,83
2022-04,86
2022-05,82
2022-06,89
2022-07,95
2022-08,90
2022-09,79
2022-10,82
2022-11,71
2022-12,80
2023-01,84
2023-02,95
2023-03,86
2023-04,87
2023-05,93
2023-06,100
2023-07,86
2023-08,81
2023-09,69
2023-10,82
2023-11,72
2023-12,82
2024-01,82
2024-02,78
2024-03,78
2024-04,85
2024-05,78
2024-06,85
2024-07,84
2024-08,79
2024-09,74
2024-10,77
2024-11,78
2024-12,80
