Category: All categories

Month,gout: (South Dakota)
2014-01,49
2014-02,38
2014-03,55
2014-04,39
2014-05,41
2014-06,68
2014-07,43
2014-08,53
2014-09,50
2014-10,55
2014-11,59
2014-12,56
2015-01,48
2015-02,52
2015-03,37
2015-04,54
2015-05,61
2015-06,100
2015-07,56
2015-08,53
2015-09,60
2015-10,65
2015-11,44
2015-12,30
2016-01,46
2016-02,46
2016-03,45
2016-04,55
2016-05,48
2016-06,40
2016-07,52
2016-08,50
2016-09,56
2016-10,59
2016-11,51
2016-12,37
2017-01,40
2017-02,50
2017-03,67
2017-04,61
2017-05,46
2017-06,64
2017-07,51
2017-08,42
2017-09,44
2017-10,56
2017-11,54
2017-12,49
2018-01,48
2018-02,51
2018-03,58
2018-04,48
2018-05,78
2018-06,56
2018-07,69
2018-08,50
2018-09,47
2018-10,53
2018-11,56
2018-12,59
2019-01,51
2019-02,66
2019-03,61
2019-04,65
2019-05,69
2019-06,41
2019-07,69
2019-08,71
2019-09,63
2019-10,62
2019-11,54
2019-12,59
2020-01,62
2020-02,52
2020-03,48
2020-04,50
2020-05,42
2020-06,67
2020-07,44
2020-08,46
2020-09,53
2020-10,50
2020-11,37
2020-12,64
2021-01,43
2021-02,53
2021-03,65
2021-04,58
2021-05,63
2021-06,69
2021-07,62
2021-08,49
2021-09,35
2021-10,58
2021-11,45
2021-12,64
2022-01,81
2022-02,40
2022-03,61
2022-04,56
2022-05,63
2022-06,65
2022-07,64
2022-08,51
2022-09,49
2022-10,57
2022-11,57
2022-12,50
2023-01,54
2023-02,54
2023-03,56
2023-04,55
2023-05,59
2023-06,73
2023-07,55
2023-08,59
2023-09,58
2023-10,49
2023-11,50
2023-12,52
2024-01,63
2024-02,58
2024-03,46
2024-04,66
2024-05,63
2024-06,54
2024-07,64
2024-08,56
2024-09,47
2024-10,65
2024-11,70
2024-12,54
