Category: All categories

Month,gout: (Tennessee)
2014-01,69
2014-02,79
2014-03,75
2014-04,86
2014-05,88
2014-06,84
2014-07,88
2014-08,86
2014-09,77
2014-10,82
2014-11,75
2014-12,80
2015-01,82
2015-02,74
2015-03,82
2015-04,86
2015-05,89
2015-06,100
2015-07,89
2015-08,77
2015-09,76
2015-10,74
2015-11,83
2015-12,84
2016-01,78
2016-02,75
2016-03,73
2016-04,78
2016-05,81
2016-06,80
2016-07,77
2016-08,81
2016-09,75
2016-10,85
2016-11,74
2016-12,74
2017-01,86
2017-02,82
2017-03,84
2017-04,85
2017-05,85
2017-06,85
2017-07,90
2017-08,80
2017-09,81
2017-10,84
2017-11,82
2017-12,81
2018-01,85
2018-02,79
2018-03,84
2018-04,88
2018-05,94
2018-06,90
2018-07,95
2018-08,83
2018-09,89
2018-10,85
2018-11,83
2018-12,81
2019-01,84
2019-02,85
2019-03,87
2019-04,90
2019-05,87
2019-06,89
2019-07,89
2019-08,81
2019-09,78
2019-10,82
2019-11,76
2019-12,92
2020-01,87
2020-02,80
2020-03,72
2020-04,87
2020-05,87
2020-06,81
2020-07,81
2020-08,75
2020-09,70
2020-10,84
2020-11,74
2020-12,72
2021-01,73
2021-02,71
2021-03,79
2021-04,82
2021-05,81
2021-06,81
2021-07,82
2021-08,85
2021-09,79
2021-10,80
2021-11,83
2021-12,77
2022-01,82
2022-02,87
2022-03,86
2022-04,84
2022-05,88
2022-06,98
2022-07,91
2022-08,88
2022-09,94
2022-10,88
2022-11,74
2022-12,87
2023-01,85
2023-02,86
2023-03,90
2023-04,93
2023-05,97
2023-06,89
2023-07,82
2023-08,83
2023-09,75
2023-10,73
2023-11,79
2023-12,81
2024-01,81
2024-02,81
2024-03,82
2024-04,84
2024-05,87
2024-06,80
2024-07,81
2024-08,76
2024-09,82
2024-10,79
2024-11,83
2024-12,86
