Category: All categories

Month,gout: (Texas)
2014-01,74
2014-02,74
2014-03,72
2014-04,79
2014-05,85
2014-06,85
2014-07,87
2014-08,81
2014-09,79
2014-10,87
2014-11,77
2014-12,82
2015-01,75
2015-02,73
2015-03,80
2015-04,80
2015-05,78
2015-06,84
2015-07,84
2015-08,82
2015-09,79
2015-10,81
2015-11,80
2015-12,83
2016-01,74
2016-02,72
2016-03,78
2016-04,80
2016-05,80
2016-06,79
2016-07,83
2016-08,78
2016-09,80
2016-10,80
2016-11,72
2016-12,74
2017-01,80
2017-02,82
2017-03,93
2017-04,97
2017-05,87
2017-06,95
2017-07,93
2017-08,89
2017-09,79
2017-10,89
2017-11,90
2017-12,83
2018-01,100
2018-02,90
2018-03,92
2018-04,99
2018-05,89
2018-06,94
2018-07,95
2018-08,95
2018-09,92
2018-10,88
2018-11,87
2018-12,89
2019-01,95
2019-02,96
2019-03,91
2019-04,99
2019-05,93
2019-06,95
2019-07,91
2019-08,86
2019-09,89
2019-10,80
2019-11,85
2019-12,88
2020-01,90
2020-02,88
2020-03,78
2020-04,78
2020-05,78
2020-06,83
2020-07,85
2020-08,76
2020-09,82
2020-10,81
2020-11,82
2020-12,78
2021-01,79
2021-02,81
2021-03,85
2021-04,83
2021-05,89
2021-06,85
2021-07,88
2021-08,81
2021-09,79
2021-10,99
2021-11,81
2021-12,83
2022-01,85
2022-02,86
2022-03,88
2022-04,85
2022-05,87
2022-06,91
2022-07,91
2022-08,94
2022-09,88
2022-10,82
2022-11,81
2022-12,81
2023-01,81
2023-02,84
2023-03,90
2023-04,90
2023-05,89
2023-06,90
2023-07,90
2023-08,85
2023-09,79
2023-10,82
2023-11,84
2023-12,81
2024-01,89
2024-02,89
2024-03,85
2024-04,85
2024-05,84
2024-06,89
2024-07,88
2024-08,86
2024-09,86
2024-10,85
2024-11,88
2024-12,92
